location,duration
"Albany, Gentry County, MO",104
"Auxvasse, Audrain County, MO",93
"Brunswick, Carroll County, MO",89
"Cardwell, Dunklin County, MO",86
"Charleston, Mississippi County, MO",101
"Clarkton, Dunklin County, MO",104
"Columbia-Sanborn Field, Boone County, MO",100
"Columbia-South Farms, Boone County, MO",97
"Cook Station, Crawford County, MO",91
"Corning, Atchison County, MO",102
"Delta, Cape Girardeau County, MO",103
"Glennonville, Dunklin County, MO",105
"Hayward, Pemiscot County, MO",97
"Lamar, Barton County, MO",101
"Linneus, Linn County, MO",101
"Monroe City, Monroe County, MO",98
"Novelty, Knox County, MO",104
"Portageville, Pemiscot County, MO",103
"St. Joseph, Buchanan County, MO",100
