location,SPI,frequency
"Albany, Gentry County, MO",0.0,148
"Auxvasse, Audrain County, MO",0.0,152
"Brunswick, Carroll County, MO",0.0,139
"Cardwell, Dunklin County, MO",0.0,149
"Charleston, Mississippi County, MO",0.0,134
"Clarkton, Dunklin County, MO",0.0,138
"Columbia-Sanborn Field, Boone County, MO",0.0,140
"Columbia-South Farms, Boone County, MO",0.0,138
"Cook Station, Crawford County, MO",0.0,139
"Corning, Atchison County, MO",0.0,153
"Delta, Cape Girardeau County, MO",0.0,146
"Glennonville, Dunklin County, MO",0.0,144
"Hayward, Pemiscot County, MO",0.0,135
"Lamar, Barton County, MO",0.0,146
"Linneus, Linn County, MO",0.0,153
"Monroe City, Monroe County, MO",0.0,147
"Novelty, Knox County, MO",0.0,154
"Portageville, Pemiscot County, MO",0.0,136
"St. Joseph, Buchanan County, MO",0.0,135
