location,SPI,frequency
"Albany, Gentry County, MO",-0.9,59
"Auxvasse, Audrain County, MO",-0.9,65
"Brunswick, Carroll County, MO",-0.9,59
"Cardwell, Dunklin County, MO",-0.9,63
"Charleston, Mississippi County, MO",-0.9,63
"Clarkton, Dunklin County, MO",-0.9,65
"Columbia-Sanborn Field, Boone County, MO",-0.9,60
"Columbia-South Farms, Boone County, MO",-0.9,62
"Cook Station, Crawford County, MO",-0.9,55
"Corning, Atchison County, MO",-0.9,58
"Delta, Cape Girardeau County, MO",-0.9,57
"Glennonville, Dunklin County, MO",-0.9,62
"Hayward, Pemiscot County, MO",-0.9,56
"Lamar, Barton County, MO",-0.9,52
"Linneus, Linn County, MO",-0.9,57
"Monroe City, Monroe County, MO",-0.9,66
"Novelty, Knox County, MO",-0.9,57
"Portageville, Pemiscot County, MO",-0.9,57
"St. Joseph, Buchanan County, MO",-0.9,59
