location,SPI,frequency
"Albany, Gentry County, MO",-1.2,43
"Auxvasse, Audrain County, MO",-1.2,40
"Brunswick, Carroll County, MO",-1.2,44
"Cardwell, Dunklin County, MO",-1.2,39
"Charleston, Mississippi County, MO",-1.2,45
"Clarkton, Dunklin County, MO",-1.2,39
"Columbia-Sanborn Field, Boone County, MO",-1.2,41
"Columbia-South Farms, Boone County, MO",-1.2,41
"Cook Station, Crawford County, MO",-1.2,42
"Corning, Atchison County, MO",-1.2,38
"Delta, Cape Girardeau County, MO",-1.2,40
"Glennonville, Dunklin County, MO",-1.2,40
"Hayward, Pemiscot County, MO",-1.2,40
"Lamar, Barton County, MO",-1.2,37
"Linneus, Linn County, MO",-1.2,35
"Monroe City, Monroe County, MO",-1.2,40
"Novelty, Knox County, MO",-1.2,34
"Portageville, Pemiscot County, MO",-1.2,43
"St. Joseph, Buchanan County, MO",-1.2,37
