location,duration
"Albany, Gentry County, MO",20
"Auxvasse, Audrain County, MO",12
"Brunswick, Carroll County, MO",8
"Cardwell, Dunklin County, MO",11
"Charleston, Mississippi County, MO",10
"Clarkton, Dunklin County, MO",10
"Columbia-Sanborn Field, Boone County, MO",7
"Columbia-South Farms, Boone County, MO",7
"Cook Station, Crawford County, MO",10
"Corning, Atchison County, MO",6
"Delta, Cape Girardeau County, MO",11
"Glennonville, Dunklin County, MO",10
"Hayward, Pemiscot County, MO",8
"Lamar, Barton County, MO",14
"Linneus, Linn County, MO",8
"Monroe City, Monroe County, MO",13
"Novelty, Knox County, MO",3
"Portageville, Pemiscot County, MO",10
"St. Joseph, Buchanan County, MO",14
