location,duration
"Albany, Gentry County, MO",38
"Auxvasse, Audrain County, MO",36
"Brunswick, Carroll County, MO",34
"Cardwell, Dunklin County, MO",19
"Charleston, Mississippi County, MO",31
"Clarkton, Dunklin County, MO",34
"Columbia-Sanborn Field, Boone County, MO",39
"Columbia-South Farms, Boone County, MO",39
"Cook Station, Crawford County, MO",29
"Corning, Atchison County, MO",38
"Delta, Cape Girardeau County, MO",40
"Glennonville, Dunklin County, MO",33
"Hayward, Pemiscot County, MO",18
"Lamar, Barton County, MO",21
"Linneus, Linn County, MO",33
"Monroe City, Monroe County, MO",33
"Novelty, Knox County, MO",22
"Portageville, Pemiscot County, MO",18
"St. Joseph, Buchanan County, MO",25
