location,duration
"Albany, Gentry County, MO",5.111111111111111
"Auxvasse, Audrain County, MO",6.3478260869565215
"Brunswick, Carroll County, MO",5.153846153846154
"Cardwell, Dunklin County, MO",5.346153846153846
"Charleston, Mississippi County, MO",5.25
"Clarkton, Dunklin County, MO",5.076923076923077
"Columbia-Sanborn Field, Boone County, MO",4.954545454545454
"Columbia-South Farms, Boone County, MO",5.65
"Cook Station, Crawford County, MO",4.586206896551724
"Corning, Atchison County, MO",4.65625
"Delta, Cape Girardeau County, MO",6.571428571428571
"Glennonville, Dunklin County, MO",6.043478260869565
"Hayward, Pemiscot County, MO",5.954545454545454
"Lamar, Barton County, MO",4.766666666666667
"Linneus, Linn County, MO",6.12
"Monroe City, Monroe County, MO",5.64
"Novelty, Knox County, MO",5.6923076923076925
"Portageville, Pemiscot County, MO",7.0
"St. Joseph, Buchanan County, MO",4.03030303030303
