Year,Month,Total
2000      ,1         ,6.5300
2000      ,2         ,4.5900
2000      ,3         ,4.5100
2000      ,4         ,1.9800
2000      ,5         ,6.3300
2000      ,6         ,2.7200
2000      ,7         ,3.2500
2000      ,8         ,2.4200
2000      ,9         ,3.0100
2000      ,10        ,0.9900
2000      ,11        ,4.7100
2000      ,12        ,1.0000
2001      ,1         ,1.1500
2001      ,2         ,4.8200
2001      ,3         ,2.7500
2001      ,4         ,0.4100
2001      ,5         ,2.2300
2001      ,6         ,3.0700
2001      ,7         ,5.3100
2001      ,8         ,2.1900
2001      ,9         ,2.3700
2001      ,10        ,4.3400
2001      ,11        ,6.7300
2001      ,12        ,7.9900
2002      ,1         ,4.6200
2002      ,2         ,1.4400
2002      ,3         ,7.2800
2002      ,4         ,5.3600
2002      ,5         ,5.7900
2002      ,6         ,3.9200
2002      ,7         ,2.6800
2002      ,8         ,1.5900
2002      ,9         ,4.0900
2002      ,10        ,3.4200
2002      ,11        ,2.8000
2002      ,12        ,5.8900
2003      ,1         ,0.6600
2003      ,2         ,5.1700
2003      ,3         ,2.1400
2003      ,4         ,4.7700
2003      ,5         ,4.4400
2003      ,6         ,7.4400
2003      ,7         ,3.3000
2003      ,8         ,2.9500
2003      ,9         ,5.3600
2003      ,10        ,1.3400
2003      ,11        ,4.7800
2003      ,12        ,2.7600
2004      ,1         ,2.3800
2004      ,2         ,2.0400
2004      ,3         ,2.7700
2004      ,4         ,2.7900
2004      ,5         ,3.6300
2004      ,6         ,1.4200
2004      ,7         ,1.8900
2004      ,8         ,2.7600
2004      ,9         ,0.2800
2004      ,10        ,4.5400
2004      ,11        ,6.9200
2004      ,12        ,2.6000
2005      ,1         ,5.8400
2005      ,2         ,2.5500
2005      ,3         ,3.0000
2005      ,4         ,3.3400
2005      ,5         ,0.7200
2005      ,6         ,2.2000
2005      ,7         ,5.3200
2005      ,8         ,4.3400
2005      ,9         ,2.7600
2005      ,10        ,0.0000
2005      ,11        ,3.5000
2005      ,12        ,0.9200
2006      ,1         ,4.6200
2006      ,2         ,2.1600
2006      ,3         ,5.0200
2006      ,4         ,3.9500
2006      ,5         ,6.7200
2006      ,6         ,2.4700
2006      ,7         ,3.4900
2006      ,8         ,3.0000
2006      ,9         ,11.6200
2006      ,10        ,4.3400
2006      ,11        ,4.6100
2006      ,12        ,4.3900
2007      ,1         ,6.0700
2007      ,2         ,2.8400
2007      ,3         ,2.4500
2007      ,4         ,2.8000
2007      ,5         ,3.2900
2007      ,6         ,6.6400
2007      ,7         ,3.1100
2007      ,8         ,0.2500
2007      ,9         ,2.8200
2007      ,10        ,7.6000
2007      ,11        ,2.3900
2007      ,12        ,7.1200
2008      ,1         ,1.8000
2008      ,2         ,2.9500
2008      ,3         ,9.4800
2008      ,4         ,5.9000
2008      ,5         ,5.1500
2008      ,6         ,3.3600
2008      ,7         ,2.9300
2008      ,8         ,1.1400
2008      ,9         ,0.8000
2008      ,10        ,2.3300
2008      ,11        ,2.1600
2008      ,12        ,4.7200
2009      ,1         ,2.7900
2009      ,2         ,3.0100
2009      ,3         ,2.4800
2009      ,4         ,5.5000
2009      ,5         ,5.9600
2009      ,6         ,3.6300
2009      ,7         ,4.3900
2009      ,8         ,2.6500
2009      ,9         ,3.4400
2009      ,10        ,9.7600
2009      ,11        ,0.9100
2009      ,12        ,4.9100
2010      ,1         ,2.8600
2010      ,2         ,1.2400
2010      ,3         ,4.7100
2010      ,4         ,4.4300
2010      ,5         ,4.9000
2010      ,6         ,0.6700
2010      ,7         ,1.9500
2010      ,8         ,2.4300
2010      ,9         ,3.6700
2010      ,10        ,0.4600
2010      ,11        ,4.9900
2010      ,12        ,2.5700
2011      ,1         ,0.4500
2011      ,2         ,5.7900
2011      ,3         ,5.3600
2011      ,4         ,12.9000
2011      ,5         ,6.6000
2011      ,6         ,3.4100
2011      ,7         ,1.2600
2011      ,8         ,1.3600
2011      ,9         ,2.9500
2011      ,10        ,1.8300
2011      ,11        ,10.0600
2011      ,12        ,6.2800
2012      ,1         ,3.4400
2012      ,2         ,1.7800
2012      ,3         ,4.1000
2012      ,4         ,0.6700
2012      ,5         ,2.5100
2012      ,6         ,1.9100
2012      ,7         ,2.2200
2012      ,8         ,0.2400
2012      ,9         ,4.8100
2012      ,10        ,4.5100
2012      ,11        ,2.7700
2012      ,12        ,2.3000
2013      ,1         ,5.0800
2013      ,2         ,3.5100
2013      ,3         ,2.3800
2013      ,4         ,5.1100
2013      ,5         ,4.0300
2013      ,6         ,5.7200
2013      ,7         ,2.8700
2013      ,8         ,2.6200
2013      ,9         ,2.7800
2013      ,10        ,5.4800
2013      ,11        ,2.0900
2013      ,12        ,8.2700
2014      ,1         ,1.6800
2014      ,2         ,1.8800
2014      ,3         ,2.8900
2014      ,4         ,7.9000
2014      ,5         ,2.2500
2014      ,6         ,6.2900
2014      ,7         ,1.9400
2014      ,8         ,2.6000
2014      ,9         ,2.2000
2014      ,10        ,4.6200
2014      ,11        ,2.2600
2014      ,12        ,2.4200
2015      ,1         ,2.5200
2015      ,2         ,2.3200
