Year,Month,Total
2000      ,1         ,0.8600
2000      ,2         ,3.2900
2000      ,3         ,2.4300
2000      ,4         ,0.6100
2000      ,5         ,4.0900
2000      ,6         ,7.3000
2000      ,7         ,3.2900
2000      ,8         ,10.0100
2000      ,9         ,2.4100
2000      ,10        ,3.5100
2000      ,11        ,1.6600
2000      ,12        ,0.5100
2001      ,1         ,3.3200
2001      ,2         ,4.6900
2001      ,3         ,1.3500
2001      ,4         ,3.5200
2001      ,5         ,6.4700
2001      ,6         ,5.1800
2001      ,7         ,5.2400
2001      ,8         ,2.2500
2001      ,9         ,2.7000
2001      ,10        ,4.1200
2001      ,11        ,2.0300
2001      ,12        ,1.1700
2002      ,1         ,2.6400
2002      ,2         ,0.7600
2002      ,3         ,1.4700
2002      ,4         ,4.3500
2002      ,5         ,9.2400
2002      ,6         ,2.8000
2002      ,7         ,4.2500
2002      ,8         ,6.7800
2002      ,9         ,2.2600
2002      ,10        ,4.5000
2002      ,11        ,0.7400
2002      ,12        ,1.2300
2003      ,1         ,0.5600
2003      ,2         ,1.4000
2003      ,3         ,2.5900
2003      ,4         ,4.7400
2003      ,5         ,4.4900
2003      ,6         ,6.0100
2003      ,7         ,1.2000
2003      ,8         ,3.0100
2003      ,9         ,7.7500
2003      ,10        ,1.8800
2003      ,11        ,2.0200
2003      ,12        ,3.2100
2004      ,1         ,2.1000
2004      ,2         ,0.7100
2004      ,3         ,7.7000
2004      ,4         ,2.8200
2004      ,5         ,6.0700
2004      ,6         ,1.4800
2004      ,7         ,5.2700
2004      ,8         ,5.6300
2004      ,9         ,0.9000
2004      ,10        ,3.8300
2004      ,11        ,5.2600
2004      ,12        ,1.1000
2005      ,1         ,5.9200
2005      ,2         ,2.1200
2005      ,3         ,0.8700
2005      ,4         ,3.5000
2005      ,5         ,3.1000
2005      ,6         ,4.1200
2005      ,7         ,0.5200
2005      ,8         ,9.0400
2005      ,9         ,4.9200
2005      ,10        ,2.8100
2005      ,11        ,1.1900
2005      ,12        ,0.7700
2006      ,1         ,1.9100
2006      ,2         ,0.0700
2006      ,3         ,3.7300
2006      ,4         ,2.4000
2006      ,5         ,2.4600
2006      ,6         ,4.1100
2006      ,7         ,2.3600
2006      ,8         ,4.6900
2006      ,9         ,0.4300
2006      ,10        ,3.5200
2006      ,11        ,1.7200
2006      ,12        ,1.6000
2007      ,1         ,1.9200
2007      ,2         ,2.0000
2007      ,3         ,3.0400
2007      ,4         ,3.9200
2007      ,5         ,3.7600
2007      ,6         ,3.9200
2007      ,7         ,1.9700
2007      ,8         ,0.9600
2007      ,9         ,1.4900
2007      ,10        ,2.7200
2007      ,11        ,1.8600
2007      ,12        ,3.3700
2008      ,1         ,2.4300
2008      ,2         ,3.2900
2008      ,3         ,5.3400
2008      ,4         ,4.0900
2008      ,5         ,7.2600
2008      ,6         ,5.1500
2008      ,7         ,9.7200
2008      ,8         ,2.9100
2008      ,9         ,11.6300
2008      ,10        ,1.6000
2008      ,11        ,1.2100
2008      ,12        ,2.5600
2009      ,1         ,0.0900
2009      ,2         ,3.2100
2009      ,3         ,4.1400
2009      ,4         ,8.1600
2009      ,5         ,4.9600
2009      ,6         ,6.2500
2009      ,7         ,5.2600
2009      ,8         ,5.0400
2009      ,9         ,3.0600
2009      ,10        ,10.4100
2009      ,11        ,1.6800
2009      ,12        ,2.7300
2010      ,1         ,1.9600
2010      ,2         ,2.4800
2010      ,3         ,3.1100
2010      ,4         ,7.7300
2010      ,5         ,4.8200
2010      ,6         ,4.3300
2010      ,7         ,10.3000
2010      ,8         ,4.5800
2010      ,9         ,6.8800
2010      ,10        ,0.8200
2010      ,11        ,1.8700
2010      ,12        ,2.4200
2011      ,1         ,0.2900
2011      ,2         ,2.2200
2011      ,3         ,3.7000
2011      ,4         ,3.1800
2011      ,5         ,6.1500
2011      ,6         ,2.8300
2011      ,7         ,1.6200
2011      ,8         ,2.5200
2011      ,9         ,2.1200
2011      ,10        ,0.9000
2011      ,11        ,4.2000
2011      ,12        ,2.8300
2012      ,1         ,0.8100
2012      ,2         ,2.4000
2012      ,3         ,4.0800
2012      ,4         ,7.3200
2012      ,5         ,1.2100
2012      ,6         ,1.2100
2012      ,7         ,0.9600
2012      ,8         ,1.9000
2012      ,9         ,1.8000
2012      ,10        ,2.4700
2012      ,11        ,1.3200
2012      ,12        ,1.0400
2013      ,1         ,2.6000
2013      ,2         ,1.8300
2013      ,3         ,2.7600
2013      ,4         ,7.0000
2013      ,5         ,10.9000
2013      ,6         ,2.1100
2013      ,7         ,1.3800
2013      ,8         ,1.8700
2013      ,9         ,2.0000
2013      ,10        ,2.8900
2013      ,11        ,1.4900
2013      ,12        ,1.5700
2014      ,1         ,0.3200
2014      ,2         ,0.3500
2014      ,3         ,1.0300
2014      ,4         ,6.3300
2014      ,5         ,2.8600
2014      ,6         ,6.9200
2014      ,7         ,1.8800
2014      ,8         ,3.1800
2014      ,9         ,7.2900
2014      ,10        ,9.8800
2014      ,11        ,0.9100
2014      ,12        ,2.0900
2015      ,1         ,0.8700
2015      ,2         ,0.7400
2015      ,3         ,1.8600
2015      ,4         ,2.8500
2015      ,5         ,5.6300
2015      ,6         ,6.2400
2015      ,7         ,7.4200
2015      ,8         ,3.3600
2015      ,9         ,1.1900
2015      ,10        ,0.8800
2015      ,11        ,7.7200
2015      ,12        ,6.2300
2016      ,1         ,0.5800
2016      ,2         ,0.5000
2016      ,3         ,1.8800
2016      ,4         ,2.0400
2016      ,5         ,3.1200
2016      ,6         ,1.1300
2016      ,7         ,10.4500
2016      ,8         ,4.8100
2016      ,9         ,6.4800
2016      ,10        ,1.1000
2016      ,11        ,2.5100
2016      ,12        ,1.0900
2017      ,1         ,1.1100
2017      ,2         ,0.1400
2017      ,3         ,2.6700
2017      ,4         ,8.4000
2017      ,5         ,4.7900
2017      ,6         ,3.2000
2017      ,7         ,4.2500
2017      ,8         ,3.5900
2017      ,9         ,1.5300
2017      ,10        ,4.0000
2017      ,11        ,0.5800
2017      ,12        ,0.1600
2018      ,1         ,1.6800
2018      ,2         ,2.7200
2018      ,3         ,3.0200
2018      ,4         ,0.4000
2018      ,5         ,2.5800
2018      ,6         ,4.1500
2018      ,7         ,1.7300
2018      ,8         ,3.3000
2018      ,9         ,1.0700
2018      ,10        ,6.5100
2018      ,11        ,2.4000
2018      ,12        ,4.1500
2019      ,1         ,1.6400
2019      ,2         ,1.8000
2019      ,3         ,4.1100
2019      ,4         ,4.8300
2019      ,5         ,4.6400
2019      ,6         ,5.7900
2019      ,7         ,3.5900
2019      ,8         ,4.9400
2019      ,9         ,2.1400
2019      ,10        ,4.3600
2019      ,11        ,1.9300
2019      ,12        ,1.5700
2020      ,1         ,3.4400
2020      ,2         ,1.9300
2020      ,3         ,5.5100
2020      ,4         ,4.6000
2020      ,5         ,4.0800
2020      ,6         ,5.3300
2020      ,7         ,3.8900
2020      ,8         ,4.0300
2020      ,9         ,3.4400
2020      ,10        ,1.5000
2020      ,11        ,2.5500
2020      ,12        ,0.6300
2021      ,1         ,2.6000
2021      ,2         ,0.5400
2021      ,3         ,5.5400
2021      ,4         ,5.1700
2021      ,5         ,3.8700
2021      ,6         ,11.6000
2021      ,7         ,5.4600
2021      ,8         ,1.0100
2021      ,9         ,2.6500
2021      ,10        ,5.9500
2021      ,11        ,0.8800
2021      ,12        ,1.7800
2022      ,1         ,0.7300
2022      ,2         ,1.2400
2022      ,3         ,3.8400
2022      ,4         ,5.0700
2022      ,5         ,5.0700
2022      ,6         ,1.9900
2022      ,7         ,2.1000
2022      ,8         ,2.0400
2022      ,9         ,1.5600
2022      ,10        ,3.0700
2022      ,11        ,2.1300
2022      ,12        ,1.0000
2023      ,1         ,1.1100
2023      ,2         ,2.7800
2023      ,3         ,2.8300
2023      ,4         ,0.6400
2023      ,5         ,1.3300
2023      ,6         ,3.5100
2023      ,7         ,5.5100
2023      ,8         ,4.8600
2023      ,9         ,0.3700
2023      ,10        ,2.4800
2023      ,11        ,0.8400
2023      ,12        ,2.8100
2024      ,1         ,2.5400
2024      ,2         ,0.0300
2024      ,3         ,2.7800
2024      ,4         ,4.2300
2024      ,5         ,3.5000
