12/01/2005 0.0172
spi frequency percentage rankingpercentile
-2.1 1 1.16 2.78
-2 1 1.16 5.56
-1.8 2 2.33 8.33
-1.6 3 3.49 11.11
-1.4 1 1.16 13.89
-1.2 5 5.81 16.67
-1.1 3 3.49 19.44
-1 1 1.16 22.22
-0.9 1 1.16 25
-0.8 2 2.33 27.78
-0.7 3 3.49 30.56
-0.6 1 1.16 33.33
-0.5 5 5.81 36.11
-0.4 2 2.33 38.89
-0.2 5 5.81 41.67
-0.1 5 5.81 44.44
0 3 3.49 47.22
0.1 1 1.16 50
0.2 5 5.81 52.78
0.3 4 4.65 55.56
0.4 3 3.49 58.33
0.5 5 5.81 61.11
0.6 3 3.49 63.89
0.7 3 3.49 66.67
0.8 1 1.16 69.44
0.9 1 1.16 72.22
1 1 1.16 75
1.1 3 3.49 77.78
1.2 1 1.16 80.56
1.3 2 2.33 83.33
1.4 4 4.65 86.11
1.5 1 1.16 88.89
1.7 1 1.16 91.67
1.8 1 1.16 94.44
2.2 1 1.16 97.22
2.3 1 1.16 100
