01/01/2000 0.0055
spi frequency percentage rankingpercentile
-1.7 3 6.12 3.57
-1.5 1 2.04 7.14
-1.4 2 4.08 10.71
-1.2 2 4.08 14.29
-1.1 2 4.08 17.86
-1 1 2.04 21.43
-0.7 3 6.12 25
-0.6 1 2.04 28.57
-0.5 3 6.12 32.14
-0.4 3 6.12 35.71
-0.2 1 2.04 39.29
-0.1 2 4.08 42.86
0.1 1 2.04 46.43
0.2 1 2.04 50
0.3 2 4.08 53.57
0.4 3 6.12 57.14
0.5 2 4.08 60.71
0.6 1 2.04 64.29
0.7 2 4.08 67.86
0.8 1 2.04 71.43
0.9 1 2.04 75
1 2 4.08 78.57
1.1 2 4.08 82.14
1.2 1 2.04 85.71
1.3 2 4.08 89.29
1.4 1 2.04 92.86
1.6 2 4.08 96.43
1.7 1 2.04 100
