04/01/2009 0.7733
spi frequency percentage rankingpercentile
-2.2 3 1.71 2.27
-2.1 1 0.57 4.55
-2 2 1.14 6.82
-1.9 1 0.57 9.09
-1.7 4 2.29 11.36
-1.6 2 1.14 13.64
-1.5 1 0.57 15.91
-1.4 3 1.71 18.18
-1.3 2 1.14 20.45
-1.2 2 1.14 22.73
-1.1 8 4.57 25
-1 6 3.43 27.27
-0.9 3 1.71 29.55
-0.8 4 2.29 31.82
-0.7 6 3.43 34.09
-0.6 6 3.43 36.36
-0.5 1 0.57 38.64
-0.4 4 2.29 40.91
-0.3 7 4 43.18
-0.2 11 6.29 45.45
-0.1 5 2.86 47.73
0 8 4.57 50
0.1 4 2.29 52.27
0.2 4 2.29 54.55
0.3 9 5.14 56.82
0.4 8 4.57 59.09
0.5 7 4 61.36
0.6 9 5.14 63.64
0.7 7 4 65.91
0.8 5 2.86 68.18
0.9 4 2.29 70.45
1 5 2.86 72.73
1.1 3 1.71 75
1.2 2 1.14 77.27
1.3 3 1.71 79.55
1.4 2 1.14 81.82
1.5 1 0.57 84.09
1.6 2 1.14 86.36
1.7 1 0.57 88.64
1.8 3 1.71 90.91
1.9 2 1.14 93.18
2.2 2 1.14 95.45
2.3 1 0.57 97.73
2.5 1 0.57 100
