08/01/2017 3.43
spi frequency percentage rankingpercentile
-1.9 3 4 2.86
-1.8 2 2.67 5.71
-1.6 1 1.33 8.57
-1.5 1 1.33 11.43
-1.3 1 1.33 14.29
-1.2 1 1.33 17.14
-1.1 2 2.67 20
-1 3 4 22.86
-0.9 3 4 25.71
-0.8 3 4 28.57
-0.7 1 1.33 31.43
-0.6 4 5.33 34.29
-0.5 1 1.33 37.14
-0.4 2 2.67 40
-0.3 3 4 42.86
-0.2 5 6.67 45.71
-0.1 3 4 48.57
0.1 2 2.67 51.43
0.2 3 4 54.29
0.3 2 2.67 57.14
0.4 2 2.67 60
0.5 3 4 62.86
0.6 1 1.33 65.71
0.7 1 1.33 68.57
0.8 2 2.67 71.43
0.9 7 9.33 74.29
1 1 1.33 77.14
1.2 1 1.33 80
1.3 2 2.67 82.86
1.4 2 2.67 85.71
1.5 3 4 88.57
1.6 1 1.33 91.43
1.7 1 1.33 94.29
1.8 1 1.33 97.14
1.9 1 1.33 100
