10/01/2017 0.0
spi frequency percentage rankingpercentile
-1.8 2 2.74 2.94
-1.7 1 1.37 5.88
-1.6 1 1.37 8.82
-1.5 1 1.37 11.76
-1.4 1 1.37 14.71
-1.3 2 2.74 17.65
-1.2 1 1.37 20.59
-1.1 4 5.48 23.53
-1 1 1.37 26.47
-0.9 2 2.74 29.41
-0.7 5 6.85 32.35
-0.5 8 10.96 35.29
-0.4 2 2.74 38.24
-0.3 2 2.74 41.18
-0.2 3 4.11 44.12
-0.1 3 4.11 47.06
0.1 1 1.37 50
0.2 1 1.37 52.94
0.3 4 5.48 55.88
0.4 4 5.48 58.82
0.5 1 1.37 61.76
0.6 2 2.74 64.71
0.7 3 4.11 67.65
0.8 3 4.11 70.59
0.9 1 1.37 73.53
1 1 1.37 76.47
1.1 1 1.37 79.41
1.2 3 4.11 82.35
1.3 1 1.37 85.29
1.4 2 2.74 88.24
1.5 1 1.37 91.18
1.7 1 1.37 94.12
1.8 2 2.74 97.06
2.1 2 2.74 100
