01/01/2000 0.0848
spi frequency percentage rankingpercentile
-3.2 1 0.35 1.89
-3.1 1 0.35 3.77
-3 1 0.35 5.66
-2.7 2 0.7 7.55
-2.6 1 0.35 9.43
-2.4 3 1.05 11.32
-2.3 1 0.35 13.21
-2.2 1 0.35 15.09
-2 1 0.35 16.98
-1.9 3 1.05 18.87
-1.8 3 1.05 20.75
-1.7 2 0.7 22.64
-1.6 1 0.35 24.53
-1.5 1 0.35 26.42
-1.4 2 0.7 28.3
-1.3 1 0.35 30.19
-1.2 4 1.4 32.08
-1.1 7 2.45 33.96
-1 6 2.1 35.85
-0.9 8 2.8 37.74
-0.8 5 1.75 39.62
-0.7 7 2.45 41.51
-0.6 8 2.8 43.4
-0.5 7 2.45 45.28
-0.4 14 4.9 47.17
-0.3 14 4.9 49.06
-0.2 8 2.8 50.94
-0.1 15 5.24 52.83
0 17 5.94 54.72
0.1 11 3.85 56.6
0.2 4 1.4 58.49
0.3 19 6.64 60.38
0.4 9 3.15 62.26
0.5 10 3.5 64.15
0.6 20 6.99 66.04
0.7 9 3.15 67.92
0.8 13 4.55 69.81
0.9 8 2.8 71.7
1 4 1.4 73.58
1.1 6 2.1 75.47
1.2 4 1.4 77.36
1.3 4 1.4 79.25
1.4 4 1.4 81.13
1.5 1 0.35 83.02
1.6 2 0.7 84.91
1.7 2 0.7 86.79
1.8 2 0.7 88.68
1.9 1 0.35 90.57
2 1 0.35 92.45
2.1 1 0.35 94.34
2.2 2 0.7 96.23
2.3 2 0.7 98.11
2.5 2 0.7 100
