10/01/2004 0.1106
spi frequency percentage rankingpercentile
-2.8 2 0.87 2.13
-2.2 1 0.44 4.26
-2.1 1 0.44 6.38
-2 1 0.44 8.51
-1.9 2 0.87 10.64
-1.8 1 0.44 12.77
-1.7 6 2.62 14.89
-1.6 6 2.62 17.02
-1.4 4 1.75 19.15
-1.3 5 2.18 21.28
-1.2 3 1.31 23.4
-1.1 2 0.87 25.53
-1 3 1.31 27.66
-0.9 5 2.18 29.79
-0.8 8 3.49 31.91
-0.7 5 2.18 34.04
-0.6 5 2.18 36.17
-0.5 11 4.8 38.3
-0.4 12 5.24 40.43
-0.3 8 3.49 42.55
-0.2 7 3.06 44.68
-0.1 10 4.37 46.81
0 11 4.8 48.94
0.1 10 4.37 51.06
0.2 3 1.31 53.19
0.3 12 5.24 55.32
0.4 14 6.11 57.45
0.5 4 1.75 59.57
0.6 8 3.49 61.7
0.7 6 2.62 63.83
0.8 8 3.49 65.96
0.9 8 3.49 68.09
1 5 2.18 70.21
1.1 4 1.75 72.34
1.2 2 0.87 74.47
1.3 5 2.18 76.6
1.4 6 2.62 78.72
1.5 2 0.87 80.85
1.6 2 0.87 82.98
1.8 2 0.87 85.11
1.9 2 0.87 87.23
2 1 0.44 89.36
2.1 1 0.44 91.49
2.2 1 0.44 93.62
2.3 2 0.87 95.74
2.4 1 0.44 97.87
2.5 1 0.44 100
