04/01/2015 0.0271
spi frequency percentage rankingpercentile
-2.1 4 3.88 2.7
-1.9 1 0.97 5.41
-1.7 2 1.94 8.11
-1.6 1 0.97 10.81
-1.5 1 0.97 13.51
-1.4 2 1.94 16.22
-1.3 2 1.94 18.92
-1.2 2 1.94 21.62
-1.1 3 2.91 24.32
-1 2 1.94 27.03
-0.9 2 1.94 29.73
-0.8 1 0.97 32.43
-0.7 7 6.8 35.14
-0.6 2 1.94 37.84
-0.5 1 0.97 40.54
-0.4 4 3.88 43.24
-0.3 1 0.97 45.95
-0.2 2 1.94 48.65
-0.1 5 4.85 51.35
0 2 1.94 54.05
0.1 8 7.77 56.76
0.2 2 1.94 59.46
0.3 5 4.85 62.16
0.4 5 4.85 64.86
0.5 6 5.83 67.57
0.6 2 1.94 70.27
0.7 6 5.83 72.97
0.8 3 2.91 75.68
0.9 3 2.91 78.38
1 1 0.97 81.08
1.2 1 0.97 83.78
1.3 2 1.94 86.49
1.4 3 2.91 89.19
1.5 2 1.94 91.89
1.6 3 2.91 94.59
1.7 2 1.94 97.3
1.9 2 1.94 100
