01/01/2000 0.0619
spi frequency percentage rankingpercentile
-3 1 0.35 2.08
-2.7 1 0.35 4.17
-2.6 2 0.7 6.25
-2.4 3 1.05 8.33
-2.3 1 0.35 10.42
-2.2 2 0.7 12.5
-1.9 1 0.35 14.58
-1.7 5 1.75 16.67
-1.6 6 2.1 18.75
-1.5 1 0.35 20.83
-1.4 1 0.35 22.92
-1.3 3 1.05 25
-1.2 7 2.45 27.08
-1.1 1 0.35 29.17
-1 8 2.8 31.25
-0.9 6 2.1 33.33
-0.8 6 2.1 35.42
-0.7 17 5.94 37.5
-0.6 5 1.75 39.58
-0.5 11 3.85 41.67
-0.4 14 4.9 43.75
-0.3 7 2.45 45.83
-0.2 14 4.9 47.92
-0.1 13 4.55 50
0 14 4.9 52.08
0.1 12 4.2 54.17
0.2 10 3.5 56.25
0.3 13 4.55 58.33
0.4 3 1.05 60.42
0.5 11 3.85 62.5
0.6 7 2.45 64.58
0.7 8 2.8 66.67
0.8 8 2.8 68.75
0.9 15 5.24 70.83
1 9 3.15 72.92
1.1 7 2.45 75
1.2 7 2.45 77.08
1.3 8 2.8 79.17
1.4 2 0.7 81.25
1.5 3 1.05 83.33
1.6 4 1.4 85.42
1.7 2 0.7 87.5
1.8 1 0.35 89.58
1.9 1 0.35 91.67
2.2 1 0.35 93.75
2.4 1 0.35 95.83
2.5 2 0.7 97.92
2.7 1 0.35 100
