05/01/2000 0.0
spi frequency percentage rankingpercentile
-3 1 0.35 2.13
-2.4 2 0.71 4.26
-2.3 1 0.35 6.38
-2.2 1 0.35 8.51
-2.1 2 0.71 10.64
-2 1 0.35 12.77
-1.9 2 0.71 14.89
-1.8 5 1.77 17.02
-1.7 3 1.06 19.15
-1.6 1 0.35 21.28
-1.5 5 1.77 23.4
-1.4 4 1.42 25.53
-1.3 5 1.77 27.66
-1.2 8 2.84 29.79
-1.1 3 1.06 31.91
-1 3 1.06 34.04
-0.9 4 1.42 36.17
-0.8 4 1.42 38.3
-0.7 9 3.19 40.43
-0.6 13 4.61 42.55
-0.5 12 4.26 44.68
-0.4 8 2.84 46.81
-0.3 8 2.84 48.94
-0.2 13 4.61 51.06
-0.1 20 7.09 53.19
0 14 4.96 55.32
0.1 8 2.84 57.45
0.2 10 3.55 59.57
0.3 9 3.19 61.7
0.4 14 4.96 63.83
0.5 11 3.9 65.96
0.6 9 3.19 68.09
0.7 5 1.77 70.21
0.8 10 3.55 72.34
0.9 7 2.48 74.47
1 4 1.42 76.6
1.1 6 2.13 78.72
1.2 2 0.71 80.85
1.3 8 2.84 82.98
1.4 4 1.42 85.11
1.5 3 1.06 87.23
1.6 1 0.35 89.36
1.7 6 2.13 91.49
1.8 6 2.13 93.62
1.9 1 0.35 95.74
2 2 0.71 97.87
2.2 4 1.42 100
