01/01/2000 0.0258
spi frequency percentage rankingpercentile
-3.4 1 0.35 2.08
-2.7 1 0.35 4.17
-2.4 1 0.35 6.25
-2.1 2 0.7 8.33
-2 1 0.35 10.42
-1.9 3 1.05 12.5
-1.8 4 1.4 14.58
-1.7 3 1.05 16.67
-1.6 4 1.4 18.75
-1.5 1 0.35 20.83
-1.4 5 1.75 22.92
-1.3 2 0.7 25
-1.2 3 1.05 27.08
-1.1 8 2.8 29.17
-1 8 2.8 31.25
-0.9 3 1.05 33.33
-0.8 8 2.8 35.42
-0.7 14 4.9 37.5
-0.6 15 5.24 39.58
-0.5 10 3.5 41.67
-0.4 9 3.15 43.75
-0.3 10 3.5 45.83
-0.2 15 5.24 47.92
-0.1 7 2.45 50
0 12 4.2 52.08
0.1 14 4.9 54.17
0.2 7 2.45 56.25
0.3 11 3.85 58.33
0.4 13 4.55 60.42
0.5 7 2.45 62.5
0.6 7 2.45 64.58
0.7 14 4.9 66.67
0.8 10 3.5 68.75
0.9 6 2.1 70.83
1 3 1.05 72.92
1.1 11 3.85 75
1.2 3 1.05 77.08
1.3 4 1.4 79.17
1.4 4 1.4 81.25
1.5 8 2.8 83.33
1.6 2 0.7 85.42
1.7 2 0.7 87.5
1.8 3 1.05 89.58
1.9 1 0.35 91.67
2.2 1 0.35 93.75
2.4 2 0.7 95.83
2.6 1 0.35 97.92
3.1 2 0.7 100
