10/01/2008 0.0678
spi frequency percentage rankingpercentile
-2.9 1 0.55 2.33
-2.4 2 1.1 4.65
-2.1 1 0.55 6.98
-1.9 1 0.55 9.3
-1.7 5 2.76 11.63
-1.6 2 1.1 13.95
-1.5 1 0.55 16.28
-1.4 2 1.1 18.6
-1.3 3 1.66 20.93
-1.2 3 1.66 23.26
-1.1 5 2.76 25.58
-1 6 3.31 27.91
-0.9 7 3.87 30.23
-0.8 2 1.1 32.56
-0.7 6 3.31 34.88
-0.6 8 4.42 37.21
-0.5 4 2.21 39.53
-0.4 9 4.97 41.86
-0.3 6 3.31 44.19
-0.2 2 1.1 46.51
-0.1 8 4.42 48.84
0 8 4.42 51.16
0.1 6 3.31 53.49
0.2 12 6.63 55.81
0.3 8 4.42 58.14
0.4 4 2.21 60.47
0.5 3 1.66 62.79
0.6 10 5.52 65.12
0.7 4 2.21 67.44
0.8 3 1.66 69.77
0.9 4 2.21 72.09
1 9 4.97 74.42
1.1 6 3.31 76.74
1.2 3 1.66 79.07
1.3 4 2.21 81.4
1.4 2 1.1 83.72
1.5 3 1.66 86.05
1.7 1 0.55 88.37
2 1 0.55 90.7
2.1 1 0.55 93.02
2.2 3 1.66 95.35
2.4 1 0.55 97.67
2.6 1 0.55 100
