05/01/2014 0.145
spi frequency percentage rankingpercentile
-2.4 1 0.88 2.63
-2.1 1 0.88 5.26
-1.8 1 0.88 7.89
-1.7 2 1.75 10.53
-1.5 1 0.88 13.16
-1.4 5 4.39 15.79
-1.3 3 2.63 18.42
-1.2 1 0.88 21.05
-1.1 7 6.14 23.68
-0.9 4 3.51 26.32
-0.8 3 2.63 28.95
-0.7 2 1.75 31.58
-0.6 3 2.63 34.21
-0.5 6 5.26 36.84
-0.4 1 0.88 39.47
-0.3 9 7.89 42.11
-0.2 2 1.75 44.74
-0.1 5 4.39 47.37
0 2 1.75 50
0.1 5 4.39 52.63
0.2 3 2.63 55.26
0.3 1 0.88 57.89
0.4 2 1.75 60.53
0.5 9 7.89 63.16
0.6 3 2.63 65.79
0.7 4 3.51 68.42
0.8 4 3.51 71.05
0.9 4 3.51 73.68
1 5 4.39 76.32
1.1 2 1.75 78.95
1.2 1 0.88 81.58
1.4 3 2.63 84.21
1.6 2 1.75 86.84
1.7 2 1.75 89.47
1.8 1 0.88 92.11
1.9 2 1.75 94.74
2.2 1 0.88 97.37
2.4 1 0.88 100
