01/01/2000 0.2
spi frequency percentage rankingpercentile
-3.4 1 0.35 2.08
-3.3 1 0.35 4.17
-2.8 1 0.35 6.25
-2.6 2 0.7 8.33
-2.5 1 0.35 10.42
-2.2 1 0.35 12.5
-2 1 0.35 14.58
-1.9 2 0.7 16.67
-1.7 4 1.4 18.75
-1.6 1 0.35 20.83
-1.5 2 0.7 22.92
-1.4 3 1.05 25
-1.3 5 1.75 27.08
-1.2 6 2.1 29.17
-1.1 4 1.4 31.25
-1 7 2.45 33.33
-0.9 12 4.2 35.42
-0.8 7 2.45 37.5
-0.7 12 4.2 39.58
-0.6 11 3.85 41.67
-0.5 9 3.15 43.75
-0.4 14 4.9 45.83
-0.3 11 3.85 47.92
-0.2 10 3.5 50
-0.1 7 2.45 52.08
0 12 4.2 54.17
0.1 11 3.85 56.25
0.2 7 2.45 58.33
0.3 8 2.8 60.42
0.4 18 6.29 62.5
0.5 4 1.4 64.58
0.6 11 3.85 66.67
0.7 12 4.2 68.75
0.8 10 3.5 70.83
0.9 10 3.5 72.92
1 6 2.1 75
1.1 11 3.85 77.08
1.2 6 2.1 79.17
1.3 4 1.4 81.25
1.4 5 1.75 83.33
1.5 1 0.35 85.42
1.6 1 0.35 87.5
1.7 5 1.75 89.58
1.9 2 0.7 91.67
2 3 1.05 93.75
2.2 1 0.35 95.83
2.4 2 0.7 97.92
2.8 1 0.35 100
