01/01/2000 0.0213
spi frequency percentage rankingpercentile
-3 1 0.35 2.08
-2.8 2 0.7 4.17
-2.7 1 0.35 6.25
-2.4 1 0.35 8.33
-2.3 2 0.7 10.42
-2.2 1 0.35 12.5
-2 1 0.35 14.58
-1.8 4 1.4 16.67
-1.7 1 0.35 18.75
-1.6 4 1.4 20.83
-1.5 2 0.7 22.92
-1.4 5 1.75 25
-1.3 5 1.75 27.08
-1.2 10 3.51 29.17
-1.1 6 2.11 31.25
-1 6 2.11 33.33
-0.9 7 2.46 35.42
-0.8 5 1.75 37.5
-0.7 5 1.75 39.58
-0.6 8 2.81 41.67
-0.5 6 2.11 43.75
-0.4 13 4.56 45.83
-0.3 9 3.16 47.92
-0.2 11 3.86 50
-0.1 13 4.56 52.08
0 16 5.61 54.17
0.1 14 4.91 56.25
0.2 5 1.75 58.33
0.3 13 4.56 60.42
0.4 14 4.91 62.5
0.5 10 3.51 64.58
0.6 9 3.16 66.67
0.7 9 3.16 68.75
0.8 6 2.11 70.83
0.9 7 2.46 72.92
1 8 2.81 75
1.1 8 2.81 77.08
1.2 8 2.81 79.17
1.3 4 1.4 81.25
1.4 4 1.4 83.33
1.5 5 1.75 85.42
1.6 6 2.11 87.5
1.7 1 0.35 89.58
1.8 2 0.7 91.67
1.9 3 1.05 93.75
2 2 0.7 95.83
2.1 1 0.35 97.92
2.2 1 0.35 100
