01/01/2000 0.0139
spi frequency percentage rankingpercentile
-2.6 1 0.35 1.96
-2.4 2 0.7 3.92
-2.3 2 0.7 5.88
-2.2 1 0.35 7.84
-2.1 1 0.35 9.8
-2 4 1.4 11.76
-1.9 1 0.35 13.73
-1.8 2 0.7 15.69
-1.7 3 1.05 17.65
-1.6 3 1.05 19.61
-1.5 1 0.35 21.57
-1.4 4 1.4 23.53
-1.3 2 0.7 25.49
-1.2 8 2.8 27.45
-1.1 4 1.4 29.41
-1 9 3.15 31.37
-0.9 7 2.45 33.33
-0.8 6 2.1 35.29
-0.7 9 3.15 37.25
-0.6 7 2.45 39.22
-0.5 9 3.15 41.18
-0.4 11 3.85 43.14
-0.3 11 3.85 45.1
-0.2 13 4.55 47.06
-0.1 18 6.29 49.02
0 13 4.55 50.98
0.1 10 3.5 52.94
0.2 12 4.2 54.9
0.3 8 2.8 56.86
0.4 19 6.64 58.82
0.5 12 4.2 60.78
0.6 7 2.45 62.75
0.7 9 3.15 64.71
0.8 5 1.75 66.67
0.9 8 2.8 68.63
1 4 1.4 70.59
1.1 2 0.7 72.55
1.2 4 1.4 74.51
1.3 6 2.1 76.47
1.4 6 2.1 78.43
1.5 6 2.1 80.39
1.6 2 0.7 82.35
1.8 3 1.05 84.31
1.9 3 1.05 86.27
2.1 1 0.35 88.24
2.2 2 0.7 90.2
2.3 1 0.35 92.16
2.4 1 0.35 94.12
2.5 1 0.35 96.08
2.7 1 0.35 98.04
3 1 0.35 100
