12/01/2005 0.02
spi frequency percentage rankingpercentile
-3.1 1 0.47 2.17
-2.5 1 0.47 4.35
-2.2 1 0.47 6.52
-2.1 2 0.93 8.7
-1.8 4 1.86 10.87
-1.7 2 0.93 13.04
-1.6 3 1.4 15.22
-1.5 2 0.93 17.39
-1.4 6 2.79 19.57
-1.3 4 1.86 21.74
-1.2 3 1.4 23.91
-1.1 3 1.4 26.09
-1 5 2.33 28.26
-0.9 2 0.93 30.43
-0.8 5 2.33 32.61
-0.7 5 2.33 34.78
-0.6 12 5.58 36.96
-0.5 10 4.65 39.13
-0.4 10 4.65 41.3
-0.3 3 1.4 43.48
-0.2 9 4.19 45.65
-0.1 12 5.58 47.83
0 11 5.12 50
0.1 7 3.26 52.17
0.2 9 4.19 54.35
0.3 4 1.86 56.52
0.4 5 2.33 58.7
0.5 12 5.58 60.87
0.6 8 3.72 63.04
0.7 6 2.79 65.22
0.8 5 2.33 67.39
0.9 4 1.86 69.57
1 5 2.33 71.74
1.1 6 2.79 73.91
1.2 7 3.26 76.09
1.3 2 0.93 78.26
1.4 4 1.86 80.43
1.5 2 0.93 82.61
1.6 2 0.93 84.78
1.7 2 0.93 86.96
1.8 1 0.47 89.13
1.9 2 0.93 91.3
2 2 0.93 93.48
2.2 2 0.93 95.65
2.4 1 0.47 97.83
2.6 1 0.47 100
