01/01/2000 0.0029
spi frequency percentage rankingpercentile
-2.8 1 0.35 2.13
-2.7 1 0.35 4.26
-2.4 3 1.05 6.38
-2.1 2 0.7 8.51
-2 1 0.35 10.64
-1.9 4 1.4 12.77
-1.8 1 0.35 14.89
-1.7 2 0.7 17.02
-1.6 5 1.75 19.15
-1.5 3 1.05 21.28
-1.4 9 3.15 23.4
-1.3 3 1.05 25.53
-1.2 2 0.7 27.66
-1.1 5 1.75 29.79
-1 10 3.5 31.91
-0.9 10 3.5 34.04
-0.8 6 2.1 36.17
-0.7 2 0.7 38.3
-0.6 9 3.15 40.43
-0.5 13 4.55 42.55
-0.4 13 4.55 44.68
-0.3 10 3.5 46.81
-0.2 12 4.2 48.94
-0.1 11 3.85 51.06
0 6 2.1 53.19
0.1 8 2.8 55.32
0.2 10 3.5 57.45
0.3 11 3.85 59.57
0.4 15 5.24 61.7
0.5 8 2.8 63.83
0.6 5 1.75 65.96
0.7 7 2.45 68.09
0.8 6 2.1 70.21
0.9 16 5.59 72.34
1 7 2.45 74.47
1.1 14 4.9 76.6
1.2 7 2.45 78.72
1.3 4 1.4 80.85
1.4 5 1.75 82.98
1.5 7 2.45 85.11
1.6 3 1.05 87.23
1.7 2 0.7 89.36
1.8 2 0.7 91.49
1.9 1 0.35 93.62
2 2 0.7 95.74
2.1 1 0.35 97.87
2.3 1 0.35 100
