   MONTH       DAY      YEAR     TOTAL  
                                PRECIP  
                                INCHES  
       5         7      2018      0.00  
       5         8      2018      0.00  
       5         9      2018      0.00  
       5        10      2018      0.00  
       5        11      2018      0.00  
       5        12      2018      0.00  
       5        13      2018      0.00  
       5        14      2018      0.00  
       5        15      2018      0.00  
       5        16      2018      0.24  
       5        17      2018      0.58  
       5        18      2018      0.00  
       5        19      2018      0.30  
       5        20      2018      0.30  
       5        21      2018      0.31  
       5        22      2018      0.00  
       5        23      2018      0.00  
       5        24      2018      0.00  
       5        25      2018      0.04  
       5        26      2018      0.07  
       5        27      2018      0.00  
       5        28      2018      0.10  
       5        29      2018      0.08  
       5        30      2018      0.00  
       5        31      2018      1.43  
       6         1      2018      0.49  
       6         2      2018      0.00  
       6         3      2018      0.00  
       6         4      2018      0.00  
       6         5      2018      0.00  
       6         6      2018      0.00  
       6         7      2018      0.00  
       6         8      2018      0.00  
       6         9      2018      0.00  
       6        10      2018      0.00  
       6        11      2018      0.00  
       6        12      2018      0.42  
       6        13      2018      0.00  
       6        14      2018      0.00  
       6        15      2018      0.00  
       6        16      2018      0.00  
       6        17      2018      0.00  
       6        18      2018      0.00  
       6        19      2018      0.00  
       6        20      2018      0.34  
       6        21      2018      0.02  
       6        22      2018      0.00  
       6        23      2018      0.00  
       6        24      2018      0.03  
       6        25      2018      0.00  
       6        26      2018      0.09  
       6        27      2018      0.01  
       6        28      2018      0.56  
       6        29      2018      0.00  
       6        30      2018      0.00  
       7         1      2018      0.00  
       7         2      2018      0.32  
       7         3      2018      0.00  
       7         4      2018      0.00  
       7         5      2018      0.00  
       7         6      2018      0.58  
       7         7      2018      0.00  
       7         8      2018      0.00  
       7         9      2018      0.00  
       7        10      2018      0.00  
       7        11      2018      0.00  
       7        12      2018      0.00  
       7        13      2018      0.00  
       7        14      2018      0.00  
       7        15      2018      0.04  
       7        16      2018      0.00  
       7        17      2018      0.00  
       7        18      2018      0.00  
       7        19      2018      0.00  
       7        20      2018      0.00  
       7        21      2018      0.00  
       7        22      2018      0.00  
       7        23      2018      0.00  
       7        24      2018      0.00  
       7        25      2018      0.00  
       7        26      2018      0.00  
       7        27      2018      0.00  
       7        28      2018      0.00  
       7        29      2018      0.00  
       7        30      2018      0.08  
       7        31      2018      0.39  
       8         1      2018      0.00  
       8         2      2018      0.00  
       8         3      2018      0.00  
       8         4      2018      0.00  
       8         5      2018      0.00  
       8         6      2018      0.00  
       8         7      2018      0.26  
       8         8      2018      0.00  
       8         9      2018      0.00  
       8        10      2018      0.00  
       8        11      2018      0.00  
       8        12      2018      0.00  
       8        13      2018      0.00  
       8        14      2018      0.00  
       8        15      2018      0.77  
       8        16      2018      8.10  
       8        17      2018      0.28  
       8        18      2018      0.00  
       8        19      2018      0.00  
       8        20      2018      0.49  
       8        21      2018      0.00  
       8        22      2018      0.00  
       8        23      2018      0.00  
       8        24      2018      0.00  
       8        25      2018      0.00  
       8        26      2018      0.00  
       8        27      2018      0.00  
       8        28      2018      0.00  
       8        29      2018      0.28  
       8        30      2018      0.06  
       8        31      2018      0.00  
       9         1      2018      0.00  
       9         2      2018      0.00  
       9         3      2018      0.00  
       9         4      2018      0.00  
       9         5      2018      0.00  
       9         6      2018      0.87  
       9         7      2018      0.03  
       9         8      2018      0.94  
       9         9      2018      0.28  
       9        10      2018      0.00  
       9        11      2018      0.00  
       9        12      2018      0.00  
       9        13      2018      0.00  
       9        14      2018      0.00  
       9        15      2018      0.00  
       9        16      2018      0.00  
       9        17      2018      0.00  
       9        18      2018      0.00  
       9        19      2018      0.00  
       9        20      2018      0.00  
       9        21      2018      0.00  
       9        22      2018      1.72  
       9        23      2018      1.03  
       9        24      2018      0.31  
       9        25      2018      0.01  
       9        26      2018      0.00  
