location,SPI,frequency
"Albany, Gentry County, MO",-0.6,5.0588235294117645
"Auxvasse, Audrain County, MO",-0.6,4.421052631578948
"Brunswick, Carroll County, MO",-0.6,3.5714285714285716
"Cardwell, Dunklin County, MO",-0.6,5.470588235294118
"Charleston, Mississippi County, MO",-0.6,4.823529411764706
"Clarkton, Dunklin County, MO",-0.6,4.15
"Columbia-Sanborn Field, Boone County, MO",-0.6,4.947368421052632
"Columbia-South Farms, Boone County, MO",-0.6,4.421052631578948
"Cook Station, Crawford County, MO",-0.6,3.8947368421052633
"Corning, Atchison County, MO",-0.6,4.2105263157894735
"Delta, Cape Girardeau County, MO",-0.6,4.722222222222222
"Glennonville, Dunklin County, MO",-0.6,4.611111111111111
"Hayward, Pemiscot County, MO",-0.6,3.9047619047619047
"Lamar, Barton County, MO",-0.6,4.444444444444445
"Linneus, Linn County, MO",-0.6,3.761904761904762
"Monroe City, Monroe County, MO",-0.6,4.7368421052631575
"Novelty, Knox County, MO",-0.6,4.833333333333333
"Portageville, Pemiscot County, MO",-0.6,4.1
"St. Joseph, Buchanan County, MO",-0.6,3.8095238095238093
