location,SPI,frequency
"Albany, Gentry County, MO",-1.3,3.3
"Auxvasse, Audrain County, MO",-1.3,2.6666666666666665
"Brunswick, Carroll County, MO",-1.3,2.0
"Cardwell, Dunklin County, MO",-1.3,3.1
"Charleston, Mississippi County, MO",-1.3,4.0
"Clarkton, Dunklin County, MO",-1.3,2.3076923076923075
"Columbia-Sanborn Field, Boone County, MO",-1.3,2.5
"Columbia-South Farms, Boone County, MO",-1.3,2.5
"Cook Station, Crawford County, MO",-1.3,2.6666666666666665
"Corning, Atchison County, MO",-1.3,3.25
"Delta, Cape Girardeau County, MO",-1.3,2.727272727272727
"Glennonville, Dunklin County, MO",-1.3,2.909090909090909
"Hayward, Pemiscot County, MO",-1.3,2.0714285714285716
"Lamar, Barton County, MO",-1.3,3.090909090909091
"Linneus, Linn County, MO",-1.3,2.2142857142857144
"Monroe City, Monroe County, MO",-1.3,2.5
"Novelty, Knox County, MO",-1.3,3.090909090909091
"Portageville, Pemiscot County, MO",-1.3,2.5384615384615383
"St. Joseph, Buchanan County, MO",-1.3,2.857142857142857
