01/01/2000 0.08
spi frequency percentage rankingpercentile
-2.8 1 0.35 2.13
-2.7 2 0.7 4.26
-2.5 1 0.35 6.38
-2.3 1 0.35 8.51
-2.2 2 0.7 10.64
-2 1 0.35 12.77
-1.8 2 0.7 14.89
-1.7 2 0.7 17.02
-1.6 5 1.75 19.15
-1.5 5 1.75 21.28
-1.4 1 0.35 23.4
-1.3 7 2.45 25.53
-1.2 7 2.45 27.66
-1.1 4 1.4 29.79
-1 9 3.15 31.91
-0.9 8 2.8 34.04
-0.8 8 2.8 36.17
-0.7 8 2.8 38.3
-0.6 12 4.2 40.43
-0.5 11 3.85 42.55
-0.4 10 3.5 44.68
-0.3 10 3.5 46.81
-0.2 4 1.4 48.94
-0.1 13 4.55 51.06
0 12 4.2 53.19
0.1 14 4.9 55.32
0.2 14 4.9 57.45
0.3 5 1.75 59.57
0.4 11 3.85 61.7
0.5 6 2.1 63.83
0.6 8 2.8 65.96
0.7 13 4.55 68.09
0.8 12 4.2 70.21
0.9 8 2.8 72.34
1 6 2.1 74.47
1.1 5 1.75 76.6
1.2 3 1.05 78.72
1.3 7 2.45 80.85
1.4 7 2.45 82.98
1.5 5 1.75 85.11
1.6 2 0.7 87.23
1.7 2 0.7 89.36
1.8 3 1.05 91.49
1.9 5 1.75 93.62
2 2 0.7 95.74
2.1 1 0.35 97.87
2.6 1 0.35 100
