location,SPI,start_date,end_date,duration
"Albany, Gentry County, MO",-0.7,2000-12-01,2001-05-01,151 days
"Albany, Gentry County, MO",-0.7,2002-06-01,2004-05-01,700 days
"Albany, Gentry County, MO",-0.7,2005-09-01,2005-10-01,30 days
"Albany, Gentry County, MO",-0.7,2006-02-01,2006-08-01,181 days
"Albany, Gentry County, MO",-0.7,2011-09-01,2011-12-01,91 days
"Albany, Gentry County, MO",-0.7,2012-01-01,2012-02-01,31 days
"Albany, Gentry County, MO",-0.7,2012-06-01,2012-07-01,30 days
"Albany, Gentry County, MO",-0.7,2012-08-01,2013-06-01,304 days
"Albany, Gentry County, MO",-0.7,2013-08-01,2013-10-01,61 days
"Albany, Gentry County, MO",-0.7,2013-11-01,2014-07-01,242 days
"Albany, Gentry County, MO",-0.7,2018-06-01,2019-02-01,245 days
"Albany, Gentry County, MO",-0.7,2021-09-01,2021-10-01,30 days
"Albany, Gentry County, MO",-0.7,2023-05-01,2023-07-01,61 days
"Auxvasse, Audrain County, MO",-0.7,2003-05-01,2003-06-01,31 days
"Auxvasse, Audrain County, MO",-0.7,2003-07-01,2003-09-01,62 days
"Auxvasse, Audrain County, MO",-0.7,2005-11-01,2006-07-01,242 days
"Auxvasse, Audrain County, MO",-0.7,2006-08-01,2007-02-01,184 days
"Auxvasse, Audrain County, MO",-0.7,2007-03-01,2007-05-01,61 days
"Auxvasse, Audrain County, MO",-0.7,2007-06-01,2008-03-01,274 days
"Auxvasse, Audrain County, MO",-0.7,2011-08-01,2013-05-01,639 days
"Auxvasse, Audrain County, MO",-0.7,2014-04-01,2014-09-01,153 days
"Auxvasse, Audrain County, MO",-0.7,2017-09-01,2017-10-01,30 days
"Auxvasse, Audrain County, MO",-0.7,2018-04-01,2018-11-01,214 days
"Brunswick, Carroll County, MO",-0.7,2000-12-01,2001-01-01,31 days
"Brunswick, Carroll County, MO",-0.7,2003-05-01,2003-12-01,214 days
"Brunswick, Carroll County, MO",-0.7,2007-11-01,2008-02-01,92 days
"Brunswick, Carroll County, MO",-0.7,2011-09-01,2011-11-01,61 days
"Brunswick, Carroll County, MO",-0.7,2012-07-01,2012-10-01,92 days
"Brunswick, Carroll County, MO",-0.7,2012-11-01,2013-05-01,181 days
"Brunswick, Carroll County, MO",-0.7,2014-01-01,2014-10-01,273 days
"Brunswick, Carroll County, MO",-0.7,2018-06-01,2018-12-01,183 days
"Brunswick, Carroll County, MO",-0.7,2019-02-01,2019-04-01,59 days
"Brunswick, Carroll County, MO",-0.7,2022-06-01,2024-05-01,700 days
"Cardwell, Dunklin County, MO",-0.7,2000-12-01,2001-12-01,365 days
"Cardwell, Dunklin County, MO",-0.7,2005-11-01,2006-11-01,365 days
"Cardwell, Dunklin County, MO",-0.7,2007-08-01,2007-12-01,122 days
"Cardwell, Dunklin County, MO",-0.7,2008-01-01,2008-03-01,60 days
"Cardwell, Dunklin County, MO",-0.7,2009-03-01,2009-06-01,92 days
"Cardwell, Dunklin County, MO",-0.7,2010-10-01,2011-05-01,212 days
"Cardwell, Dunklin County, MO",-0.7,2012-11-01,2013-05-01,181 days
"Cardwell, Dunklin County, MO",-0.7,2022-07-01,2023-01-01,184 days
"Cardwell, Dunklin County, MO",-0.7,2023-02-01,2023-03-01,28 days
"Cardwell, Dunklin County, MO",-0.7,2024-04-01,2024-05-01,30 days
"Charleston, Mississippi County, MO",-0.7,2001-01-01,2001-12-01,334 days
"Charleston, Mississippi County, MO",-0.7,2004-06-01,2005-08-01,426 days
"Charleston, Mississippi County, MO",-0.7,2005-10-01,2006-05-01,212 days
"Charleston, Mississippi County, MO",-0.7,2006-07-01,2006-09-01,62 days
"Charleston, Mississippi County, MO",-0.7,2009-03-01,2009-09-01,184 days
