location,SPI,start_date,end_date,duration
"Albany, Gentry County, MO",-0.8,2000-12-01,2001-05-01,151 days
"Albany, Gentry County, MO",-0.8,2002-06-01,2004-05-01,700 days
"Albany, Gentry County, MO",-0.8,2006-02-01,2006-08-01,181 days
"Albany, Gentry County, MO",-0.8,2011-09-01,2011-12-01,91 days
"Albany, Gentry County, MO",-0.8,2012-08-01,2013-06-01,304 days
"Albany, Gentry County, MO",-0.8,2013-08-01,2013-10-01,61 days
"Albany, Gentry County, MO",-0.8,2013-12-01,2014-07-01,212 days
"Albany, Gentry County, MO",-0.8,2018-06-01,2018-12-01,183 days
"Albany, Gentry County, MO",-0.8,2023-05-01,2023-06-01,31 days
"Auxvasse, Audrain County, MO",-0.8,2003-05-01,2003-06-01,31 days
"Auxvasse, Audrain County, MO",-0.8,2005-11-01,2006-06-01,212 days
"Auxvasse, Audrain County, MO",-0.8,2006-08-01,2006-12-01,122 days
"Auxvasse, Audrain County, MO",-0.8,2007-03-01,2007-04-01,31 days
"Auxvasse, Audrain County, MO",-0.8,2007-07-01,2008-03-01,244 days
"Auxvasse, Audrain County, MO",-0.8,2011-09-01,2013-05-01,608 days
"Auxvasse, Audrain County, MO",-0.8,2014-04-01,2014-09-01,153 days
"Auxvasse, Audrain County, MO",-0.8,2018-04-01,2018-11-01,214 days
"Brunswick, Carroll County, MO",-0.8,2000-12-01,2001-01-01,31 days
"Brunswick, Carroll County, MO",-0.8,2003-05-01,2003-12-01,214 days
"Brunswick, Carroll County, MO",-0.8,2007-12-01,2008-02-01,62 days
"Brunswick, Carroll County, MO",-0.8,2011-09-01,2011-11-01,61 days
"Brunswick, Carroll County, MO",-0.8,2012-07-01,2012-10-01,92 days
"Brunswick, Carroll County, MO",-0.8,2012-11-01,2013-05-01,181 days
"Brunswick, Carroll County, MO",-0.8,2014-01-01,2014-10-01,273 days
"Brunswick, Carroll County, MO",-0.8,2018-06-01,2018-12-01,183 days
"Brunswick, Carroll County, MO",-0.8,2019-02-01,2019-03-01,28 days
"Brunswick, Carroll County, MO",-0.8,2022-06-01,2024-05-01,700 days
"Cardwell, Dunklin County, MO",-0.8,2000-12-01,2001-12-01,365 days
"Cardwell, Dunklin County, MO",-0.8,2005-11-01,2006-11-01,365 days
"Cardwell, Dunklin County, MO",-0.8,2007-08-01,2007-12-01,122 days
"Cardwell, Dunklin County, MO",-0.8,2008-01-01,2008-03-01,60 days
"Cardwell, Dunklin County, MO",-0.8,2009-03-01,2009-06-01,92 days
"Cardwell, Dunklin County, MO",-0.8,2010-10-01,2011-05-01,212 days
"Cardwell, Dunklin County, MO",-0.8,2012-11-01,2013-05-01,181 days
"Cardwell, Dunklin County, MO",-0.8,2022-07-01,2022-08-01,31 days
"Cardwell, Dunklin County, MO",-0.8,2022-09-01,2022-12-01,91 days
"Cardwell, Dunklin County, MO",-0.8,2023-02-01,2023-03-01,28 days
