Year,Month,Total,,,,
2000,1,0.43,,34.41,,8.073841298
2000,2,2.75,,34.22,,
2000,3,2.25,,35.07,,
2000,4,0.51,,37.35,,
2000,5,4.34,,38.52,,
2000,6,6.78,,38.46,,
2000,7,3.07,,36.77,,
2000,8,6.85,,38.97,,
2000,9,2.08,,35.73,,
2000,10,3.75,,36.91,,
2000,11,1.6,,35.41,,
2000,12,0.24,,37.84,,
2001,1,3.6,,39.75,,
2001,2,4.53,,37.29,,
2001,3,1.68,,35.48,,
2001,4,4.28,,34.5,,
2001,5,5.09,,31.92,,
2001,6,5.27,,31.37,,
2001,7,3.61,,35.06,,
2001,8,3.26,,34.46,,
2001,9,2.25,,34.55,,
2001,10,4.03,,35.67,,
2001,11,2.15,,32.83,,
2001,12,1.14,,34.4,,
2002,1,2.72,,33.98,,
2002,2,0.7,,32.97,,
2002,3,1.7,,32.85,,
2002,4,4.54,,32.83,,
2002,5,8.96,,30.97,,
2002,6,3.01,,26.07,,
2002,7,3.35,,28.5,,
2002,8,3.37,,31.59,,
2002,9,1.19,,28.9,,
2002,10,3.72,,30.95,,
2002,11,0.72,,32.15,,
2002,12,1.71,,33.07,,
2003,1,0.58,,33.81,,
2003,2,1.68,,36.39,,
2003,3,2.68,,36.37,,
2003,4,4.06,,34.43,,
2003,5,5.44,,35.06,,
2003,6,6.44,,32.54,,
2003,7,0.68,,31.05,,
2003,8,3.24,,31.97,,
2003,9,4.92,,33.51,,
2003,10,1.64,,34.92,,
2003,11,2.45,,35.79,,
2003,12,3.16,,37.7,,
2004,1,1.66,,39.69,,
2004,2,0.74,,39.24,,
2004,3,4.69,,44.13,,
2004,4,2.92,,41.42,,
2004,5,4.95,,39.63,,
2004,6,1.6,,36.98,,
2004,7,4.78,,36.67,,
2004,8,6.33,,35.08,,
2004,9,2.51,,29.35,,
2004,10,4.36,,33.19,,
2004,11,5.15,,31.51,,
2004,12,1.21,,28.53,,
2005,1,5.63,,28.59,,
2005,2,1.98,,23.85,,
2005,3,1.13,,23.84,,
2005,4,2.3,,22.83,,
2005,5,1.29,,25.34,,
2005,6,3.19,,26.46,,
2005,7,0.6,,26.19,,
2005,8,6.35,,31.46,,
2005,9,2.68,,29.12,,
2005,10,2.17,,28.77,,
2005,11,1.27,,27.98,,
2005,12,0.89,,29.27,,
2006,1,1.97,,30.31,,
2006,2,0.12,,29.99,,
2006,3,4.81,,31.91,,
2006,4,2.41,,29,,
2006,5,2.92,,28.83,,
2006,6,5.87,,29.79,,
