Year,Month,Total,,,,
2000,1,0.8,,37.09,,8.975786688
2000,2,2.09,,39.83,,
2000,3,3.09,,41.86,,
2000,4,1.77,,40.01,,
2000,5,4.55,,41.95,,
2000,6,8.91,,44.53,,
2000,7,6.7,,41.48,,
2000,8,0.03,,38.21,,
2000,9,2.92,,40.46,,
2000,10,3.92,,39.78,,
2000,11,1.69,,41.67,,
2000,12,0.62,,41.79,,
2001,1,3.54,,43.01,,
2001,2,4.12,,42.22,,
2001,3,1.24,,38.75,,
2001,4,3.71,,39.2,,
2001,5,7.13,,38.26,,
2001,6,5.86,,41.73,,
2001,7,3.43,,39.31,,
2001,8,2.28,,38.77,,
2001,9,2.24,,37.57,,
2001,10,5.81,,37.73,,
2001,11,1.81,,33.52,,
2001,12,1.84,,32.45,,
2002,1,2.75,,31.91,,
2002,2,0.65,,29.42,,
2002,3,1.69,,31.32,,
2002,4,2.77,,32.62,,
2002,5,10.6,,33.16,,
2002,6,3.44,,27.41,,
2002,7,2.89,,26.98,,
2002,8,1.08,,25.35,,
2002,9,2.4,,30.14,,
2002,10,1.6,,32.74,,
2002,11,0.74,,32.72,,
2002,12,1.3,,34.65,,
2003,1,0.26,,37.79,,
2003,2,2.55,,39.94,,
2003,3,2.99,,38.51,,
2003,4,3.31,,40.86,,
2003,5,4.85,,43.43,,
2003,6,3.01,,43.27,,
2003,7,1.26,,46.21,,
2003,8,5.87,,48.84,,
2003,9,5,,45.66,,
2003,10,1.58,,41.52,,
2003,11,2.67,,45.59,,
2003,12,4.44,,49.77,,
2004,1,2.41,,46.92,,
2004,2,1.12,,49.45,,
2004,3,5.34,,50.47,,
2004,4,5.88,,46.14,,
2004,5,4.69,,43.28,,
2004,6,5.95,,41.19,,
2004,7,3.89,,39.4,,
2004,8,2.69,,37.08,,
2004,9,0.86,,38.06,,
2004,10,5.65,,40.13,,
2004,11,6.85,,35.66,,
2004,12,1.59,,30.09,,
2005,1,4.94,,28.92,,
2005,2,2.14,,24.93,,
2005,3,1.01,,22.8,,
2005,4,3.02,,23.88,,
2005,5,2.6,,25.16,,
2005,6,4.16,,28.05,,
2005,7,1.57,,28.33,,
2005,8,3.67,,28.92,,
2005,9,2.93,,26.84,,
2005,10,1.18,,24.73,,
2005,11,1.28,,25.85,,
2005,12,0.42,,26.35,,
2006,1,0.95,,28.6,,
2006,2,0.01,,29.06,,
2006,3,2.09,,31.06,,
2006,4,4.3,,33.16,,
2006,5,5.49,,32.74,,
2006,6,4.44,,32.13,,
2006,7,2.16,,47.37,,
2006,8,1.59,,48.12,,
2006,9,0.82,,47.86,,
2006,10,2.3,,50.61,,
2006,11,1.78,,52.17,,
2006,12,2.67,,51.5,,
2007,1,1.41,,50.63,,
2007,2,2.01,,49.9,,
2007,3,4.19,,50.98,,
2007,4,3.88,,52.78,,
2007,5,4.88,,56.28,,
2007,6,19.68,,62.2,,
2007,7,2.91,,52.87,,
2007,8,1.33,,54.91,,
2007,9,3.57,,54.84,,
2007,10,3.86,,60.51,,
2007,11,1.11,,59.15,,
2007,12,1.8,,59.29,,
2008,1,0.68,,59.55,,
2008,2,3.09,,58.96,,
2008,3,5.99,,57.83,,
2008,4,7.38,,55.37,,
2008,5,10.8,,51.54,,
2008,6,10.35,,46.27,,
2008,7,4.95,,42.45,,
2008,8,1.26,,42.18,,
2008,9,9.24,,43.6,,
2008,10,2.5,,40.26,,
2008,11,1.25,,44.61,,
2008,12,2.06,,45.24,,
2009,1,0.09,,44.56,,
2009,2,1.96,,45.79,,
2009,3,3.53,,45.2,,
2009,4,3.55,,44.21,,
2009,5,5.53,,43.04,,
2009,6,6.53,,44.09,,
2009,7,4.68,,40.97,,
2009,8,2.68,,42.9,,
2009,9,5.9,,42.17,,
2009,10,6.85,,45.12,,
2009,11,1.88,,39.02,,
2009,12,1.38,,39.74,,
2010,1,1.32,,39.1,,
2010,2,1.37,,37.89,,
2010,3,2.54,,39.66,,
2010,4,2.38,,40.88,,
2010,5,6.58,,42.28,,
2010,6,3.41,,40.39,,
2010,7,6.61,,39.58,,
2010,8,1.95,,37.6,,
2010,9,8.85,,38.86,,
2010,10,0.75,,32.58,,
2010,11,2.6,,32.65,,
2010,12,0.74,,35.4,,
2011,1,0.11,,37.3,,
2011,2,3.14,,37.26,,
2011,3,3.76,,36.75,,
2011,4,3.78,,38.82,,
2011,5,4.69,,42.64,,
2011,6,2.6,,41.72,,
2011,7,4.63,,42.47,,
2011,8,3.21,,38.36,,
2011,9,2.57,,40.5,,
2011,10,0.82,,44.6,,
2011,11,5.35,,48.25,,
2011,12,2.64,,44.47,,
2012,1,0.07,,42.64,,
2012,2,2.63,,44.59,,
2012,3,5.83,,44.79,,
2012,4,7.6,,42.58,,
2012,5,3.77,,40.24,,
2012,6,3.35,,43.2,,
2012,7,0.52,,45.54,,
2012,8,5.35,,48.67,,
2012,9,6.67,,46.97,,
2012,10,4.47,,42.04,,
