0,1,2,3,4,5,6
01/01/2006,07/01/2008,30,-1.92,-26.77,-0.89,-0.88
10/01/2011,05/01/2013,19,-1.67,-23.09,-1.22,-1.19
05/01/2014,06/01/2015,13,-1.71,-8.06,-0.62,-0.27
05/01/2018,05/01/2019,12,-1.64,-10.77,-0.9,-0.79
