location,SPI,frequency
"Albany, Gentry County, MO",-2.2,6
"Auxvasse, Audrain County, MO",-2.2,6
"Brunswick, Carroll County, MO",-2.2,8
"Cardwell, Dunklin County, MO",-2.2,11
"Charleston, Mississippi County, MO",-2.2,7
"Clarkton, Dunklin County, MO",-2.2,5
"Columbia-Sanborn Field, Boone County, MO",-2.2,6
"Columbia-South Farms, Boone County, MO",-2.2,5
"Cook Station, Crawford County, MO",-2.2,6
"Corning, Atchison County, MO",-2.2,5
"Delta, Cape Girardeau County, MO",-2.2,8
"Glennonville, Dunklin County, MO",-2.2,7
"Hayward, Pemiscot County, MO",-2.2,9
"Lamar, Barton County, MO",-2.2,4
"Linneus, Linn County, MO",-2.2,4
"Monroe City, Monroe County, MO",-2.2,5
"Novelty, Knox County, MO",-2.2,5
"Portageville, Pemiscot County, MO",-2.2,11
"St. Joseph, Buchanan County, MO",-2.2,5
