location,SPI,frequency
"Albany, Gentry County, MO",-0.7,77
"Auxvasse, Audrain County, MO",-0.7,70
"Brunswick, Carroll County, MO",-0.7,71
"Cardwell, Dunklin County, MO",-0.7,65
"Charleston, Mississippi County, MO",-0.7,76
"Clarkton, Dunklin County, MO",-0.7,74
"Columbia-Sanborn Field, Boone County, MO",-0.7,73
"Columbia-South Farms, Boone County, MO",-0.7,69
"Cook Station, Crawford County, MO",-0.7,75
"Corning, Atchison County, MO",-0.7,79
"Delta, Cape Girardeau County, MO",-0.7,74
"Glennonville, Dunklin County, MO",-0.7,77
"Hayward, Pemiscot County, MO",-0.7,75
"Lamar, Barton County, MO",-0.7,71
"Linneus, Linn County, MO",-0.7,72
"Monroe City, Monroe County, MO",-0.7,68
"Novelty, Knox County, MO",-0.7,74
"Portageville, Pemiscot County, MO",-0.7,73
"St. Joseph, Buchanan County, MO",-0.7,73
