location,SPI,frequency
"Albany, Gentry County, MO",-1.8,9
"Auxvasse, Audrain County, MO",-1.8,15
"Brunswick, Carroll County, MO",-1.8,13
"Cardwell, Dunklin County, MO",-1.8,18
"Charleston, Mississippi County, MO",-1.8,13
"Clarkton, Dunklin County, MO",-1.8,12
"Columbia-Sanborn Field, Boone County, MO",-1.8,13
"Columbia-South Farms, Boone County, MO",-1.8,17
"Cook Station, Crawford County, MO",-1.8,15
"Corning, Atchison County, MO",-1.8,12
"Delta, Cape Girardeau County, MO",-1.8,12
"Glennonville, Dunklin County, MO",-1.8,10
"Hayward, Pemiscot County, MO",-1.8,13
"Lamar, Barton County, MO",-1.8,14
"Linneus, Linn County, MO",-1.8,13
"Monroe City, Monroe County, MO",-1.8,15
"Novelty, Knox County, MO",-1.8,12
"Portageville, Pemiscot County, MO",-1.8,11
"St. Joseph, Buchanan County, MO",-1.8,13
