location,SPI,frequency
"Albany, Gentry County, MO",-2.1,7
"Auxvasse, Audrain County, MO",-2.1,10
"Brunswick, Carroll County, MO",-2.1,8
"Cardwell, Dunklin County, MO",-2.1,11
"Charleston, Mississippi County, MO",-2.1,9
"Clarkton, Dunklin County, MO",-2.1,6
"Columbia-Sanborn Field, Boone County, MO",-2.1,9
"Columbia-South Farms, Boone County, MO",-2.1,7
"Cook Station, Crawford County, MO",-2.1,7
"Corning, Atchison County, MO",-2.1,5
"Delta, Cape Girardeau County, MO",-2.1,9
"Glennonville, Dunklin County, MO",-2.1,7
"Hayward, Pemiscot County, MO",-2.1,9
"Lamar, Barton County, MO",-2.1,5
"Linneus, Linn County, MO",-2.1,6
"Monroe City, Monroe County, MO",-2.1,6
"Novelty, Knox County, MO",-2.1,7
"Portageville, Pemiscot County, MO",-2.1,11
"St. Joseph, Buchanan County, MO",-2.1,7
