location,SPI,frequency
"Albany, Gentry County, MO",-2.4,4
"Auxvasse, Audrain County, MO",-2.4,2
"Brunswick, Carroll County, MO",-2.4,5
"Cardwell, Dunklin County, MO",-2.4,9
"Charleston, Mississippi County, MO",-2.4,2
"Clarkton, Dunklin County, MO",-2.4,5
"Columbia-Sanborn Field, Boone County, MO",-2.4,2
"Columbia-South Farms, Boone County, MO",-2.4,3
"Cook Station, Crawford County, MO",-2.4,3
"Corning, Atchison County, MO",-2.4,5
"Delta, Cape Girardeau County, MO",-2.4,4
"Glennonville, Dunklin County, MO",-2.4,6
"Hayward, Pemiscot County, MO",-2.4,6
"Lamar, Barton County, MO",-2.4,3
"Linneus, Linn County, MO",-2.4,2
"Monroe City, Monroe County, MO",-2.4,3
"Novelty, Knox County, MO",-2.4,4
"Portageville, Pemiscot County, MO",-2.4,4
"St. Joseph, Buchanan County, MO",-2.4,5
