Year      Month     Average
2000      1         1.1900
2000      2         1.6900
2000      3         2.4500
2000      4         0.5700
2000      5         1.4800
2000      6         4.3600
2000      7         5.3400
2000      8         2.4700
2000      9         1.6600
2000      10        3.0900
2000      11        2.6000
2000      12        1.2500
2001      1         1.6300
2001      2         3.8700
2001      3         1.4900
2001      4         2.6600
2001      5         3.9400
2001      6         4.4200
2001      7         3.4300
2001      8         3.4100
2001      9         4.0400
2001      10        2.6400
2001      11        3.7100
2001      12        3.3200
2002      1         3.1600
2002      2         0.7900
2002      3         4.8000
2002      4         3.8400
2002      5         9.9300
2002      6         2.8500
2002      7         4.0700
2002      8         6.1000
2002      9         1.8500
2002      10        3.5800
2002      11        0.8000
2002      12        1.9500
2003      1         0.7800
2003      2         2.3900
2003      3         2.4800
2003      4         4.1100
2003      5         5.1200
2003      6         5.3000
2003      7         1.7200
2003      8         2.7000
2003      9         3.5500
2003      10        2.5900
2003      11        5.1000
2003      12        1.7600
2004      1         2.7100
2004      2         0.5800
2004      3         4.8100
2004      4         3.7000
2004      5         5.2700
2004      6         3.6400
2004      7         2.3200
2004      8         3.3200
2004      9         0.0300
2004      10        4.0700
2004      11        7.2500
2004      12        0.9500
2005      1         5.8400
2005      2         2.1900
2005      3         1.4300
2005      4         2.9000
2005      5         2.0000
2005      6         2.5800
2005      7         4.2800
2005      8         3.3100
2005      9         6.7100
2005      10        1.4700
2005      11        3.8700
2005      12        0.9400
2006      1         2.1700
2006      2         0.6200
2006      3         4.5800
2006      4         4.0000
2006      5         4.5200
2006      6         2.4500
2006      7         1.2300
2006      8         3.8100
2006      9         2.1300
2006      10        3.3300
2006      11        5.3200
2006      12        2.3900
2007      1         3.4400
2007      2         2.2300
2007      3         2.4600
2007      4         4.1300
2007      5         2.8800
2007      6         7.0200
2007      7         0.8400
2007      8         1.6600
2007      9         4.7200
2007      10        1.0300
2007      11        1.5900
2007      12        3.9300
2008      1         2.2500
2008      2         5.1000
2008      3         11.1700
2008      4         4.9300
2008      5         4.9300
2008      6         2.1200
2008      7         4.9100
2008      8         4.3500
2008      9         7.8900
2008      10        1.3300
2008      11        0.8400
2008      12        2.9400
2009      1         1.1800
2009      2         2.3900
2009      3         3.3500
2009      4         5.4000
2009      5         6.0100
2009      6         7.3300
2009      7         2.0900
2009      8         2.0100
2009      9         5.6400
2009      10        10.5800
2009      11        2.9000
2009      12        1.7200
2010      1         2.7500
2010      2         1.7500
2010      3         3.0800
2010      4         4.5700
2010      5         4.8900
2010      6         4.5000
2010      7         9.2400
2010      8         2.2900
2010      9         6.3600
2010      10        0.2900
2010      11        4.7100
2010      12        1.2400
2011      1         0.4100
2011      2         4.5500
2011      3         4.7700
2011      4         7.3500
2011      5         6.3300
2011      6         3.1300
2011      7         2.7400
2011      8         4.5000
2011      9         2.6200
2011      10        1.5700
2011      11        3.6500
2011      12        3.6200
2012      1         1.7500
2012      2         1.9600
2012      3         2.7100
2012      4         1.7400
2012      5         1.3400
2012      6         1.0700
2012      7         1.9400
2012      8         3.8600
2012      9         5.3500
2012      10        4.2200
2012      11        1.8700
2012      12        1.3600
2013      1         3.6500
2013      2         3.7800
2013      3         5.9200
2013      4         4.9700
2013      5         6.1900
2013      6         3.0100
2013      7         2.7100
2013      8         7.8600
2013      9         5.0400
2013      10        3.2200
2013      11        1.6600
2013      12        1.9200
2014      1         1.1100
2014      2         0.6400
2014      3         2.1200
2014      4         3.3700
2014      5         2.7200
2014      6         3.7100
2014      7         1.0100
2014      8         2.1500
2014      9         1.0400
2014      10        3.9000
2014      11        1.8400
2014      12        2.5700
2015      1         1.4400
2015      2         1.6500
2015      3         3.2300
2015      4         1.8400
2015      5         7.5300
2015      6         6.7400
2015      7         4.8600
2015      8         4.6000
2015      9         0.3500
2015      10        1.2400
2015      11        7.8900
2015      12        8.9800
2016      1         0.8700
2016      2         1.5900
2016      3         3.7200
2016      4         3.1800
2016      5         6.0600
2016      6         0.7600
2016      7         6.2200
2016      8         4.1600
2016      9         4.0600
2016      10        2.3000
2016      11        0.8100
2016      12        1.3500
2017      1         0.3500
2017      2         2.0200
2017      3         3.6700
2017      4         11.8300
2017      5         7.9900
2017      6         1.7000
2017      7         1.6100
2017      8         3.9200
2017      9         0.0800
2017      10        1.8700
2017      11        0.2500
2017      12        1.0800
2018      1         2.1700
2018      2         7.1000
2018      3         5.3400
2018      4         2.7400
2018      5         4.7800
2018      6         3.2400
2018      7         2.6100
2018      8         3.7300
2018      9         5.6400
2018      10        4.8100
2018      11        3.2500
2018      12        4.1500
2019      1         1.7900
2019      2         4.3200
2019      3         5.0900
2019      4         4.5000
2019      5         6.2800
2019      6         5.7600
2019      7         4.0900
2019      8         5.1100
2019      9         0.6700
2019      10        2.6300
2019      11        3.9800
2019      12        1.9200
2020      1         5.1100
2020      2         2.6700
2020      3         5.4200
2020      4         4.4900
2020      5         5.5700
2020      6         2.8200
2020      7         7.3200
2020      8         3.2600
2020      9         1.3400
2020      10        3.9700
2020      11        4.0000
2020      12        1.2200
2021      1         4.2300
2021      2         1.0500
2021      3         6.0400
2021      4         5.1600
2021      5         3.4100
2021      6         4.8700
2021      7         3.7100
2021      8         2.7700
2021      9         3.8400
2021      10        4.6700
2021      11        0.9000
2021      12        2.6500
2022      1         1.8300
2022      2         4.1600
2022      3         5.2300
2022      4         5.8400
2022      5         6.6700
2022      6         3.0600
2022      7         3.7700
2022      8         4.9200
2022      9         1.9100
2022      10        2.6400
2022      11        2.8200
2022      12        1.8700
2023      1         3.6600
2023      2         2.5400
2023      3         8.1200
2023      4         1.4200
2023      5         2.5300
2023      6         0.9100
2023      7         5.4700
2023      8         6.2900
2023      9         1.6000
2023      10        1.5700
2023      11        0.4200
