location,SPI,frequency
"Albany, Gentry County, MO",-0.1,5.708333333333333
"Auxvasse, Audrain County, MO",-0.1,5.916666666666667
"Brunswick, Carroll County, MO",-0.1,5.5
"Cardwell, Dunklin County, MO",-0.1,5.32
"Charleston, Mississippi County, MO",-0.1,5.826086956521739
"Clarkton, Dunklin County, MO",-0.1,6.086956521739131
"Columbia-Sanborn Field, Boone County, MO",-0.1,5.708333333333333
"Columbia-South Farms, Boone County, MO",-0.1,5.52
"Cook Station, Crawford County, MO",-0.1,5.28
"Corning, Atchison County, MO",-0.1,5.791666666666667
"Delta, Cape Girardeau County, MO",-0.1,5.956521739130435
"Glennonville, Dunklin County, MO",-0.1,5.44
"Hayward, Pemiscot County, MO",-0.1,5.269230769230769
"Lamar, Barton County, MO",-0.1,5.72
"Linneus, Linn County, MO",-0.1,5.708333333333333
"Monroe City, Monroe County, MO",-0.1,5.5
"Novelty, Knox County, MO",-0.1,5.68
"Portageville, Pemiscot County, MO",-0.1,6.523809523809524
"St. Joseph, Buchanan County, MO",-0.1,5.958333333333333
