location,SPI,frequency
"Albany, Gentry County, MO",-2.7,1.5
"Auxvasse, Audrain County, MO",-2.7,
"Brunswick, Carroll County, MO",-2.7,1.3333333333333333
"Cardwell, Dunklin County, MO",-2.7,1.3333333333333333
"Charleston, Mississippi County, MO",-2.7,1.0
"Clarkton, Dunklin County, MO",-2.7,2.0
"Columbia-Sanborn Field, Boone County, MO",-2.7,
"Columbia-South Farms, Boone County, MO",-2.7,
"Cook Station, Crawford County, MO",-2.7,1.0
"Corning, Atchison County, MO",-2.7,1.0
"Delta, Cape Girardeau County, MO",-2.7,1.0
"Glennonville, Dunklin County, MO",-2.7,1.0
"Hayward, Pemiscot County, MO",-2.7,1.0
"Lamar, Barton County, MO",-2.7,1.0
"Linneus, Linn County, MO",-2.7,1.0
"Monroe City, Monroe County, MO",-2.7,1.0
"Novelty, Knox County, MO",-2.7,1.0
"Portageville, Pemiscot County, MO",-2.7,
"St. Joseph, Buchanan County, MO",-2.7,1.0
