location,SPI,frequency
"Albany, Gentry County, MO",-0.4,5.190476190476191
"Auxvasse, Audrain County, MO",-0.4,4.714285714285714
"Brunswick, Carroll County, MO",-0.4,4.523809523809524
"Cardwell, Dunklin County, MO",-0.4,4.2727272727272725
"Charleston, Mississippi County, MO",-0.4,5.15
"Clarkton, Dunklin County, MO",-0.4,5.5
"Columbia-Sanborn Field, Boone County, MO",-0.4,4.9523809523809526
"Columbia-South Farms, Boone County, MO",-0.4,4.545454545454546
"Cook Station, Crawford County, MO",-0.4,4.409090909090909
"Corning, Atchison County, MO",-0.4,4.9523809523809526
"Delta, Cape Girardeau County, MO",-0.4,5.3
"Glennonville, Dunklin County, MO",-0.4,5.0
"Hayward, Pemiscot County, MO",-0.4,4.565217391304348
"Lamar, Barton County, MO",-0.4,4.818181818181818
"Linneus, Linn County, MO",-0.4,4.904761904761905
"Monroe City, Monroe County, MO",-0.4,4.391304347826087
"Novelty, Knox County, MO",-0.4,4.909090909090909
"Portageville, Pemiscot County, MO",-0.4,5.833333333333333
"St. Joseph, Buchanan County, MO",-0.4,5.095238095238095
