location,SPI,frequency
"Albany, Gentry County, MO",-0.2,121
"Auxvasse, Audrain County, MO",-0.2,136
"Brunswick, Carroll County, MO",-0.2,121
"Cardwell, Dunklin County, MO",-0.2,116
"Charleston, Mississippi County, MO",-0.2,121
"Clarkton, Dunklin County, MO",-0.2,119
"Columbia-Sanborn Field, Boone County, MO",-0.2,118
"Columbia-South Farms, Boone County, MO",-0.2,121
"Cook Station, Crawford County, MO",-0.2,122
"Corning, Atchison County, MO",-0.2,127
"Delta, Cape Girardeau County, MO",-0.2,130
"Glennonville, Dunklin County, MO",-0.2,124
"Hayward, Pemiscot County, MO",-0.2,115
"Lamar, Barton County, MO",-0.2,109
"Linneus, Linn County, MO",-0.2,134
"Monroe City, Monroe County, MO",-0.2,123
"Novelty, Knox County, MO",-0.2,137
"Portageville, Pemiscot County, MO",-0.2,124
"St. Joseph, Buchanan County, MO",-0.2,113
