location,SPI,frequency
"Albany, Gentry County, MO",-0.8,64
"Auxvasse, Audrain County, MO",-0.8,70
"Brunswick, Carroll County, MO",-0.8,62
"Cardwell, Dunklin County, MO",-0.8,54
"Charleston, Mississippi County, MO",-0.8,65
"Clarkton, Dunklin County, MO",-0.8,63
"Columbia-Sanborn Field, Boone County, MO",-0.8,71
"Columbia-South Farms, Boone County, MO",-0.8,74
"Cook Station, Crawford County, MO",-0.8,67
"Corning, Atchison County, MO",-0.8,66
"Delta, Cape Girardeau County, MO",-0.8,75
"Glennonville, Dunklin County, MO",-0.8,63
"Hayward, Pemiscot County, MO",-0.8,55
"Lamar, Barton County, MO",-0.8,71
"Linneus, Linn County, MO",-0.8,66
"Monroe City, Monroe County, MO",-0.8,68
"Novelty, Knox County, MO",-0.8,71
"Portageville, Pemiscot County, MO",-0.8,52
"St. Joseph, Buchanan County, MO",-0.8,61
