location,SPI,frequency
"Albany, Gentry County, MO",-1.3,37
"Auxvasse, Audrain County, MO",-1.3,33
"Brunswick, Carroll County, MO",-1.3,40
"Cardwell, Dunklin County, MO",-1.3,36
"Charleston, Mississippi County, MO",-1.3,39
"Clarkton, Dunklin County, MO",-1.3,34
"Columbia-Sanborn Field, Boone County, MO",-1.3,36
"Columbia-South Farms, Boone County, MO",-1.3,37
"Cook Station, Crawford County, MO",-1.3,38
"Corning, Atchison County, MO",-1.3,32
"Delta, Cape Girardeau County, MO",-1.3,33
"Glennonville, Dunklin County, MO",-1.3,34
"Hayward, Pemiscot County, MO",-1.3,36
"Lamar, Barton County, MO",-1.3,32
"Linneus, Linn County, MO",-1.3,28
"Monroe City, Monroe County, MO",-1.3,35
"Novelty, Knox County, MO",-1.3,26
"Portageville, Pemiscot County, MO",-1.3,40
"St. Joseph, Buchanan County, MO",-1.3,33
