location,SPI,frequency
"Albany, Gentry County, MO",-2.2,5
"Auxvasse, Audrain County, MO",-2.2,3
"Brunswick, Carroll County, MO",-2.2,5
"Cardwell, Dunklin County, MO",-2.2,3
"Charleston, Mississippi County, MO",-2.2,5
"Clarkton, Dunklin County, MO",-2.2,4
"Columbia-Sanborn Field, Boone County, MO",-2.2,2
"Columbia-South Farms, Boone County, MO",-2.2,3
"Cook Station, Crawford County, MO",-2.2,8
"Corning, Atchison County, MO",-2.2,8
"Delta, Cape Girardeau County, MO",-2.2,4
"Glennonville, Dunklin County, MO",-2.2,2
"Hayward, Pemiscot County, MO",-2.2,6
"Lamar, Barton County, MO",-2.2,5
"Linneus, Linn County, MO",-2.2,6
"Monroe City, Monroe County, MO",-2.2,2
"Novelty, Knox County, MO",-2.2,6
"Portageville, Pemiscot County, MO",-2.2,7
"St. Joseph, Buchanan County, MO",-2.2,11
