location,SPI,frequency
"Albany, Gentry County, MO",-1.5,20
"Auxvasse, Audrain County, MO",-1.5,20
"Brunswick, Carroll County, MO",-1.5,30
"Cardwell, Dunklin County, MO",-1.5,28
"Charleston, Mississippi County, MO",-1.5,28
"Clarkton, Dunklin County, MO",-1.5,21
"Columbia-Sanborn Field, Boone County, MO",-1.5,23
"Columbia-South Farms, Boone County, MO",-1.5,24
"Cook Station, Crawford County, MO",-1.5,26
"Corning, Atchison County, MO",-1.5,22
"Delta, Cape Girardeau County, MO",-1.5,24
"Glennonville, Dunklin County, MO",-1.5,22
"Hayward, Pemiscot County, MO",-1.5,28
"Lamar, Barton County, MO",-1.5,23
"Linneus, Linn County, MO",-1.5,19
"Monroe City, Monroe County, MO",-1.5,22
"Novelty, Knox County, MO",-1.5,20
"Portageville, Pemiscot County, MO",-1.5,30
"St. Joseph, Buchanan County, MO",-1.5,22
