location,SPI,frequency
"Albany, Gentry County, MO",-0.6,83
"Auxvasse, Audrain County, MO",-0.6,89
"Brunswick, Carroll County, MO",-0.6,82
"Cardwell, Dunklin County, MO",-0.6,86
"Charleston, Mississippi County, MO",-0.6,81
"Clarkton, Dunklin County, MO",-0.6,88
"Columbia-Sanborn Field, Boone County, MO",-0.6,94
"Columbia-South Farms, Boone County, MO",-0.6,87
"Cook Station, Crawford County, MO",-0.6,77
"Corning, Atchison County, MO",-0.6,77
"Delta, Cape Girardeau County, MO",-0.6,91
"Glennonville, Dunklin County, MO",-0.6,83
"Hayward, Pemiscot County, MO",-0.6,86
"Lamar, Barton County, MO",-0.6,87
"Linneus, Linn County, MO",-0.6,91
"Monroe City, Monroe County, MO",-0.6,93
"Novelty, Knox County, MO",-0.6,90
"Portageville, Pemiscot County, MO",-0.6,78
"St. Joseph, Buchanan County, MO",-0.6,79
