location,SPI,frequency
"Albany, Gentry County, MO",-0.2,6.095238095238095
"Auxvasse, Audrain County, MO",-0.2,5.565217391304348
"Brunswick, Carroll County, MO",-0.2,4.88
"Cardwell, Dunklin County, MO",-0.2,5.904761904761905
"Charleston, Mississippi County, MO",-0.2,5.666666666666667
"Clarkton, Dunklin County, MO",-0.2,5.125
"Columbia-Sanborn Field, Boone County, MO",-0.2,5.434782608695652
"Columbia-South Farms, Boone County, MO",-0.2,5.434782608695652
"Cook Station, Crawford County, MO",-0.2,5.565217391304348
"Corning, Atchison County, MO",-0.2,5.217391304347826
"Delta, Cape Girardeau County, MO",-0.2,6.2272727272727275
"Glennonville, Dunklin County, MO",-0.2,5.909090909090909
"Hayward, Pemiscot County, MO",-0.2,4.92
"Lamar, Barton County, MO",-0.2,5.7272727272727275
"Linneus, Linn County, MO",-0.2,4.84
"Monroe City, Monroe County, MO",-0.2,5.565217391304348
"Novelty, Knox County, MO",-0.2,5.863636363636363
"Portageville, Pemiscot County, MO",-0.2,5.583333333333333
"St. Joseph, Buchanan County, MO",-0.2,4.48
