location,SPI,frequency
"Albany, Gentry County, MO",-4.3,
"Auxvasse, Audrain County, MO",-4.3,
"Brunswick, Carroll County, MO",-4.3,
"Cardwell, Dunklin County, MO",-4.3,
"Charleston, Mississippi County, MO",-4.3,
"Clarkton, Dunklin County, MO",-4.3,
"Columbia-Sanborn Field, Boone County, MO",-4.3,
"Columbia-South Farms, Boone County, MO",-4.3,
"Cook Station, Crawford County, MO",-4.3,
"Corning, Atchison County, MO",-4.3,
"Delta, Cape Girardeau County, MO",-4.3,
"Glennonville, Dunklin County, MO",-4.3,
"Hayward, Pemiscot County, MO",-4.3,
"Lamar, Barton County, MO",-4.3,
"Linneus, Linn County, MO",-4.3,
"Monroe City, Monroe County, MO",-4.3,
"Novelty, Knox County, MO",-4.3,
"Portageville, Pemiscot County, MO",-4.3,
"St. Joseph, Buchanan County, MO",-4.3,
