location,SPI,frequency
"Albany, Gentry County, MO",-2.1,1.4
"Auxvasse, Audrain County, MO",-2.1,1.4
"Brunswick, Carroll County, MO",-2.1,1.5714285714285714
"Cardwell, Dunklin County, MO",-2.1,1.6666666666666667
"Charleston, Mississippi County, MO",-2.1,1.0
"Clarkton, Dunklin County, MO",-2.1,1.4
"Columbia-Sanborn Field, Boone County, MO",-2.1,1.5
"Columbia-South Farms, Boone County, MO",-2.1,1.5
"Cook Station, Crawford County, MO",-2.1,1.75
"Corning, Atchison County, MO",-2.1,1.75
"Delta, Cape Girardeau County, MO",-2.1,1.75
"Glennonville, Dunklin County, MO",-2.1,1.6666666666666667
"Hayward, Pemiscot County, MO",-2.1,1.1666666666666667
"Lamar, Barton County, MO",-2.1,1.75
"Linneus, Linn County, MO",-2.1,1.1666666666666667
"Monroe City, Monroe County, MO",-2.1,1.5
"Novelty, Knox County, MO",-2.1,1.3333333333333333
"Portageville, Pemiscot County, MO",-2.1,1.2
"St. Joseph, Buchanan County, MO",-2.1,1.1666666666666667
