location,duration
"Albany, Gentry County, MO",138
"Auxvasse, Audrain County, MO",146
"Brunswick, Carroll County, MO",134
"Cardwell, Dunklin County, MO",139
"Charleston, Mississippi County, MO",126
"Clarkton, Dunklin County, MO",132
"Columbia-Sanborn Field, Boone County, MO",109
"Columbia-South Farms, Boone County, MO",113
"Cook Station, Crawford County, MO",133
"Corning, Atchison County, MO",149
"Delta, Cape Girardeau County, MO",138
"Glennonville, Dunklin County, MO",139
"Hayward, Pemiscot County, MO",131
"Lamar, Barton County, MO",143
"Linneus, Linn County, MO",153
"Monroe City, Monroe County, MO",141
"Novelty, Knox County, MO",148
"Portageville, Pemiscot County, MO",126
"St. Joseph, Buchanan County, MO",133
