location,duration
"Albany, Gentry County, MO",107
"Auxvasse, Audrain County, MO",114
"Brunswick, Carroll County, MO",100
"Cardwell, Dunklin County, MO",109
"Charleston, Mississippi County, MO",102
"Clarkton, Dunklin County, MO",115
"Columbia-Sanborn Field, Boone County, MO",91
"Columbia-South Farms, Boone County, MO",90
"Cook Station, Crawford County, MO",97
"Corning, Atchison County, MO",104
"Delta, Cape Girardeau County, MO",109
"Glennonville, Dunklin County, MO",114
"Hayward, Pemiscot County, MO",97
"Lamar, Barton County, MO",109
"Linneus, Linn County, MO",113
"Monroe City, Monroe County, MO",111
"Novelty, Knox County, MO",122
"Portageville, Pemiscot County, MO",100
"St. Joseph, Buchanan County, MO",99
