location,duration
"Albany, Gentry County, MO",5
"Auxvasse, Audrain County, MO",3
"Brunswick, Carroll County, MO",7
"Cardwell, Dunklin County, MO",6
"Charleston, Mississippi County, MO",5
"Clarkton, Dunklin County, MO",4
"Columbia-Sanborn Field, Boone County, MO",3
"Columbia-South Farms, Boone County, MO",4
"Cook Station, Crawford County, MO",9
"Corning, Atchison County, MO",8
"Delta, Cape Girardeau County, MO",6
"Glennonville, Dunklin County, MO",2
"Hayward, Pemiscot County, MO",7
"Lamar, Barton County, MO",5
"Linneus, Linn County, MO",7
"Monroe City, Monroe County, MO",2
"Novelty, Knox County, MO",6
"Portageville, Pemiscot County, MO",7
"St. Joseph, Buchanan County, MO",12
