Year      Month     Average
2000      1         0.2000
2000      2         0.1179
2000      3         0.1255
2000      4         0.0600
2000      5         0.2439
2000      6         0.0890
2000      7         0.0661
2000      8         0.0377
2000      9         0.0767
2000      10        0.0245
2000      11        0.1893
2000      12        0.0555
2001      1         0.0519
2001      2         0.2100
2001      3         0.0913
2001      4         0.0550
2001      5         0.0884
2001      6         0.0817
2001      7         0.0594
2001      8         0.0277
2001      9         0.0743
2001      10        0.1506
2001      11        0.2557
2001      12        0.2765
2002      1         0.1513
2002      2         0.0471
2002      3         0.2394
2002      4         0.0857
2002      5         0.2026
2002      6         0.1053
2002      7         0.0590
2002      8         0.0406
2002      9         0.1333
2002      10        0.0616
2002      11        0.0647
2002      12        0.2013
2003      1         0.0123
2003      2         0.1725
2003      3         0.0494
2003      4         0.1260
2003      5         0.1232
2003      6         0.0723
2003      7         0.1190
2003      8         0.1484
2003      9         0.1013
2003      10        0.0535
2003      11        0.1477
2003      12        0.0858
2004      1         0.0603
2004      2         0.0621
2004      3         0.0926
2004      4         0.1367
2004      5         0.1071
2004      6         0.0527
2004      7         0.1297
2004      8         0.1177
2004      9         0.0037
2004      10        0.1297
2004      11        0.3097
2004      12        0.0848
2005      1         0.1752
2005      2         0.0907
2005      3         0.0845
2005      4         0.1263
2005      5         0.0145
2005      6         0.0417
2005      7         0.1665
2005      8         0.1165
2005      9         0.1277
2005      10        0.0000
2005      11        0.1040
2005      12        0.0165
2006      1         0.1155
2006      2         0.0854
2006      3         0.1455
2006      4         0.0660
2006      5         0.1100
2006      6         0.0533
2006      7         0.1561
2006      8         0.1603
2006      9         0.5060
2006      10        0.1497
2006      11        0.1630
2006      12        0.1084
2007      1         0.1852
2007      2         0.1346
2007      3         0.0516
2007      4         0.0853
2007      5         0.1461
2007      6         0.0523
2007      7         0.0829
2007      8         0.0010
2007      9         0.0487
2007      10        0.2200
2007      11        0.0613
2007      12        0.2223
2008      1         0.0600
2008      2         0.1297
2008      3         0.2858
2008      4         0.1380
2008      5         0.1610
2008      6         0.0393
2008      7         0.0539
2008      8         0.0781
2008      9         0.1543
2008      10        0.0632
2008      11        0.0460
2008      12        0.1155
2009      1         0.0655
2009      2         0.0957
2009      3         0.0835
2009      4         0.1923
2009      5         0.2432
2009      6         0.0890
2009      7         0.1574
2009      8         0.0729
2009      9         0.0730
2009      10        0.3232
2009      11        0.0520
2009      12        0.2352
2010      1         0.0884
2010      2         0.0525
2010      3         0.1371
2010      4         0.1413
2010      5         0.1639
2010      6         0.0010
2010      7         0.0826
2010      8         0.0255
2010      9         0.0303
2010      10        0.0216
2010      11        0.1147
2010      12        0.0610
2011      1         0.0055
2011      2         0.1939
2011      3         0.1471
2011      4         0.4397
2011      5         0.2871
2011      6         0.0690
2011      7         0.0884
2011      8         0.0774
2011      9         0.1087
2011      10        0.0416
2011      11        0.3507
2011      12        0.2381
2012      1         0.0639
2012      2         0.0993
2012      3         0.1703
2012      4         0.0437
2012      5         0.0274
2012      6         0.0247
2012      7         0.0739
2012      8         0.0574
2012      9         0.1357
2012      10        0.0784
2012      11        0.0600
2012      12        0.0945
2013      1         0.1700
2013      2         0.1418
2013      3         0.0668
2013      4         0.2093
2013      5         0.1755
2013      6         0.1273
2013      7         0.1703
2013      8         0.1345
2013      9         0.0497
2013      10        0.1865
2013      11        0.0537
2013      12        0.2287
2014      1         0.0668
2014      2         0.0425
2014      3         0.0874
2014      4         0.4043
2014      5         0.1535
2014      6         0.1420
2014      7         0.0561
2014      8         0.1200
2014      9         0.0493
2014      10        0.1365
2014      11        0.0587
2014      12        0.0658
2015      1         0.0955
2015      2         0.0611
2015      3         0.2548
2015      4         0.1997
2015      5         0.1923
2015      6         0.0840
2015      7         0.2300
2015      8         0.1332
2015      9         0.0243
2015      10        0.0694
2015      11        0.3470
2015      12        0.2397
2016      1         0.0542
2016      2         0.0607
2016      3         0.1916
2016      4         0.1013
2016      5         0.2281
2016      6         0.0757
2016      7         0.1052
2016      8         0.1574
2016      9         0.0530
2016      10        0.0303
2016      11        0.1267
2016      12        0.1484
2017      1         0.0403
2017      2         0.0757
2017      3         0.1681
2017      4         0.2523
2017      5         0.1545
2017      6         0.1573
2017      7         0.0881
2017      8         0.0903
2017      9         0.0043
2017      10        0.0581
2017      11        0.0797
2017      12        0.0984
2018      1         0.0632
2018      2         0.2921
2018      3         0.1316
2018      4         0.1380
2018      5         0.1219
2018      6         0.1197
2018      7         0.0165
2018      8         0.1455
2018      9         0.1307
2018      10        0.1490
2018      11        0.1150
2018      12        0.1497
2019      1         0.1400
2019      2         0.3486
2019      3         0.0942
2019      4         0.2030
2019      5         0.2532
2019      6         0.1987
2019      7         0.2516
2019      8         0.1884
2019      9         0.0230
2019      10        0.2406
2019      11        0.1900
2019      12        0.0574
2020      1         0.1674
2020      2         0.2000
2020      3         0.2503
2020      4         0.1237
2020      5         0.1700
2020      6         0.0680
2020      7         0.1684
2020      8         0.1874
2020      9         0.1503
