Latitude,Longitude
40.2486069,-94.331068
39.221953,-91.9099238
39.5166572,-93.5003454
36.0470133,-90.2928776
36.9208854,-89.350631
36.4517276,-89.9670353
38.9377613,-92.3136781
38.9093184,-92.2797902
37.8136275,-91.4383346
40.423896,-95.4777811
37.1967187,-89.7362026
36.5804668,-90.1570634
36.39612,-89.666034
37.4950478,-94.2766148
39.8786334,-93.1888169
39.6536529,-91.7346056
40.0125389,-92.2082381
36.4253413,-89.6995256
39.7674578,-94.846681
