latitude,longitude
40.2486069,-94.33106800000002
39.22195300000001,-91.9099238
39.5166572,-93.5003454
36.0470133,-90.2928776
36.9208854,-89.35063099999999
36.4517276,-89.96703529999999
38.9377613,-92.31367809999999
38.9093184,-92.2797902
37.8136275,-91.43833459999999
40.42389600000001,-95.4777811
37.1967187,-89.7362026
36.5804668,-90.1570634
36.39612,-89.666034
37.49504780000001,-94.27661479999999
39.8786334,-93.18881689999999
39.6536529,-91.7346056
40.0125389,-92.2082381
36.4253413,-89.6995256
39.7674578,-94.84668099999999
