location,SPI,frequency
"Albany, Gentry County, MO",-0.6,86
"Auxvasse, Audrain County, MO",-0.6,84
"Brunswick, Carroll County, MO",-0.6,75
"Cardwell, Dunklin County, MO",-0.6,93
"Charleston, Mississippi County, MO",-0.6,82
"Clarkton, Dunklin County, MO",-0.6,83
"Columbia-Sanborn Field, Boone County, MO",-0.6,94
"Columbia-South Farms, Boone County, MO",-0.6,84
"Cook Station, Crawford County, MO",-0.6,74
"Corning, Atchison County, MO",-0.6,80
"Delta, Cape Girardeau County, MO",-0.6,85
"Glennonville, Dunklin County, MO",-0.6,83
"Hayward, Pemiscot County, MO",-0.6,82
"Lamar, Barton County, MO",-0.6,80
"Linneus, Linn County, MO",-0.6,79
"Monroe City, Monroe County, MO",-0.6,90
"Novelty, Knox County, MO",-0.6,87
"Portageville, Pemiscot County, MO",-0.6,82
"St. Joseph, Buchanan County, MO",-0.6,80
