location,SPI,frequency
"Albany, Gentry County, MO",-0.4,103
"Auxvasse, Audrain County, MO",-0.4,106
"Brunswick, Carroll County, MO",-0.4,98
"Cardwell, Dunklin County, MO",-0.4,107
"Charleston, Mississippi County, MO",-0.4,100
"Clarkton, Dunklin County, MO",-0.4,106
"Columbia-Sanborn Field, Boone County, MO",-0.4,108
"Columbia-South Farms, Boone County, MO",-0.4,100
"Cook Station, Crawford County, MO",-0.4,99
"Corning, Atchison County, MO",-0.4,100
"Delta, Cape Girardeau County, MO",-0.4,109
"Glennonville, Dunklin County, MO",-0.4,106
"Hayward, Pemiscot County, MO",-0.4,105
"Lamar, Barton County, MO",-0.4,103
"Linneus, Linn County, MO",-0.4,97
"Monroe City, Monroe County, MO",-0.4,111
"Novelty, Knox County, MO",-0.4,106
"Portageville, Pemiscot County, MO",-0.4,107
"St. Joseph, Buchanan County, MO",-0.4,94
