location,SPI,frequency
"Albany, Gentry County, MO",-0.7,79
"Auxvasse, Audrain County, MO",-0.7,70
"Brunswick, Carroll County, MO",-0.7,70
"Cardwell, Dunklin County, MO",-0.7,80
"Charleston, Mississippi County, MO",-0.7,76
"Clarkton, Dunklin County, MO",-0.7,73
"Columbia-Sanborn Field, Boone County, MO",-0.7,81
"Columbia-South Farms, Boone County, MO",-0.7,80
"Cook Station, Crawford County, MO",-0.7,65
"Corning, Atchison County, MO",-0.7,73
"Delta, Cape Girardeau County, MO",-0.7,72
"Glennonville, Dunklin County, MO",-0.7,74
"Hayward, Pemiscot County, MO",-0.7,75
"Lamar, Barton County, MO",-0.7,71
"Linneus, Linn County, MO",-0.7,71
"Monroe City, Monroe County, MO",-0.7,76
"Novelty, Knox County, MO",-0.7,76
"Portageville, Pemiscot County, MO",-0.7,72
"St. Joseph, Buchanan County, MO",-0.7,70
