location,SPI,frequency
"Albany, Gentry County, MO",-1.3,33
"Auxvasse, Audrain County, MO",-1.3,32
"Brunswick, Carroll County, MO",-1.3,28
"Cardwell, Dunklin County, MO",-1.3,31
"Charleston, Mississippi County, MO",-1.3,40
"Clarkton, Dunklin County, MO",-1.3,30
"Columbia-Sanborn Field, Boone County, MO",-1.3,30
"Columbia-South Farms, Boone County, MO",-1.3,30
"Cook Station, Crawford County, MO",-1.3,32
"Corning, Atchison County, MO",-1.3,39
"Delta, Cape Girardeau County, MO",-1.3,30
"Glennonville, Dunklin County, MO",-1.3,32
"Hayward, Pemiscot County, MO",-1.3,29
"Lamar, Barton County, MO",-1.3,34
"Linneus, Linn County, MO",-1.3,31
"Monroe City, Monroe County, MO",-1.3,30
"Novelty, Knox County, MO",-1.3,34
"Portageville, Pemiscot County, MO",-1.3,33
"St. Joseph, Buchanan County, MO",-1.3,40
